case,mode,n,best,worst,mean,median,std,q1,q3
F2,cold_restart,31,18.21586638069243,30.278892112696347,25.43498558321088,25.767574815118536,2.575998753302206,24.09443303609964,26.798842297519236
F2,previous_best_seeded,31,14.828278292538895,26.111251604178563,20.146894830456826,20.207425135770936,3.033269592996312,18.13647590172077,22.312318156061195
F2,population_persistence,31,19.085881515054812,71.66971452051249,41.755785059607206,40.03559050584953,12.588141383709294,32.504884291183785,51.6597708165511
F8,cold_restart,31,31.294922163414824,46.55720440148801,40.33304274902542,40.597145807163365,3.1755020770017093,38.515672651621294,42.496892822227636
F8,previous_best_seeded,31,23.701729393598093,39.36206128985776,31.708493706462345,31.895955050823204,3.92397588056367,29.36869540457034,33.749408441269324
F8,population_persistence,31,22.95964242503834,76.50729536788705,45.577274698309445,46.29318287484748,15.810241583048759,33.03341613910561,55.132085521487326
F10,cold_restart,31,150.29161249256055,186.88414839583885,167.66953529548664,168.2227093694824,8.051963040276508,162.9445056681596,171.44178928773954
F10,previous_best_seeded,31,94.82820117140956,187.7126851276565,151.50827116278168,158.54593260683237,22.82729981268589,145.00134870631152,166.007523274844
F10,population_persistence,31,204.91163005919265,257.3383650465203,231.0686356108134,229.6647460119956,13.466149989655635,222.27083343395725,241.94799100529156
F12,cold_restart,31,20.350647833891752,28.993985354800035,25.3248784383962,25.428480329851784,2.1229422603454022,24.59022761101865,26.54027112349001
F12,previous_best_seeded,31,20.050928638082564,25.740676110999324,23.198752518526614,23.3896219648289,1.6295045897318663,21.88510175846166,24.401740266806843
F12,population_persistence,31,35.933631281438345,74.29619029350218,52.733681895143526,52.18354354872675,9.655695957439546,46.08239389955387,59.43382565130021
