case,seed,GWO,PSO,SGO,WOA
F1,1,13.807133645573932,96.24283526519864,71.69469041712613,35.96976246323119
F1,2,21.958246402159567,11.070068454195992,26.015867796530895,30.860210973394853
F1,3,13.87072482453522,9.622246707122503,30.126153729101954,24.87382805239006
F1,4,16.888874681864188,4.885686890447663,27.853650196778013,20.10309367535003
F1,5,35.921519476182105,15.917260059624594,38.65548904956942,20.093412200329947
F1,6,53.83599315209757,171.95970816946834,32.91440729891699,37.28739531342123
F1,7,15.29455136215732,22.54125944924628,69.61090132069575,22.24519916344937
F1,8,16.4260911060661,18.18783739795238,45.88635524388946,26.880734638090733
F1,9,49.402368420916126,18.026137930009757,73.4604782092682,21.353066269722028
F1,10,41.056581790631896,14.15438021402092,48.74752173826028,29.671561404292248
F1,11,13.133909569035094,9.542255975615335,34.63850025590667,16.332362809435008
F1,12,26.86174148395881,15.43116897253396,53.5838833275346,41.87893506745017
F1,13,15.27360173424423,14.353781247810364,32.659232375590015,28.75739542631709
F1,14,28.02306942209964,9.233059964724768,41.91676735579284,19.602039717088516
F1,15,13.606887083722029,15.592933603097292,56.642817590172605,10.355660408398824
F1,16,47.81977392390476,12.661773212886482,33.34066349171208,25.96044819400717
F1,17,43.61950952887426,12.739016709435084,93.81034456746482,21.78625929352076
F1,18,48.82068497923792,15.237124723593205,35.85972888861828,56.9815283100049
F1,19,7.958303000026447,114.8080180041965,31.159025474427665,36.32693947777021
F1,20,21.95975185402988,13.861939706835896,50.23411369478513,23.74728593592084
F1,21,8.072916787120572,12.147216401198726,26.69890818079923,26.908930648237934
F1,22,13.877640936739356,9.99348396830329,22.625368496223743,30.39288609222079
F1,23,12.312560453168986,8.394794663764905,38.12664926653196,25.195008785199715
F1,24,31.84532361717256,72.75808212375404,31.36884943881534,16.235380289346768
F1,25,23.40633640526653,92.13612639485147,41.23806488990122,20.08088101666581
F1,26,12.453963576233797,11.303129796507497,23.86018694716898,21.978835211199677
F1,27,19.020351164376557,20.31485335977906,21.048972162513383,64.2870055000183
F1,28,17.41689814111211,7.861789498342746,15.86195585881153,19.28920886602635
F1,29,16.297996566283352,9.152739033283948,20.088248636459948,22.099678434607
F1,30,12.343559684124177,11.918043382129367,51.23860732074599,53.67251569755903
F1,31,4.749757809849728,3.649231198374778,37.67807936249733,31.74482669080381
F2,1,56.5750744466611,9.77654400528828,29.97411703011027,24.97348906611486
F2,2,20.01821338306245,16.39602189183353,20.13393062636535,34.41743872424512
F2,3,24.841303766060747,12.54766059299356,44.33317747114542,37.29260912521171
F2,4,15.14407296907602,23.62941984431948,32.8984310529814,34.553051817894385
F2,5,24.41926704831636,59.57017470532952,29.520928011165093,35.217553931834765
F2,6,29.662517826575872,18.62390993714861,36.60451148717292,34.29916465420861
F2,7,42.83376171991258,15.916027808540576,32.11133752938617,27.568606362826
F2,8,12.94550440639173,11.626351842794378,59.919521770205286,43.913367321053926
F2,9,26.84659523685682,16.89710840652504,39.1252636794063,53.61191505080348
