case,alg,mode,n,best,worst,mean,median,std,q1,q3,median_ci_lo,median_ci_hi,rank_in_case_mode
F2,SGO,cold_restart,31,18.21586638069243,30.278892112696347,25.434985583210885,25.767574815118536,2.575998753302206,24.094433036099637,26.798842297519236,24.66194979063464,26.489218166392103,3
F2,SGO,previous_best_seeded,31,14.828278292538895,26.111251604178563,20.146894830456823,20.207425135770936,3.033269592996312,18.136475901720768,22.312318156061195,18.61120490515703,21.522711128789812,4
F2,SGO,population_persistence,31,19.085881515054815,71.66971452051249,41.7557850596072,40.03559050584953,12.58814138370929,32.504884291183785,51.6597708165511,34.6640652608853,50.46576879837303,4
F2,GWO,cold_restart,31,9.661414772766951,17.60957434127874,14.972222791940379,14.907419697221421,1.6408201716623083,14.133837651934709,16.19942449427913,14.235159546241578,15.788439217243166,1
F2,GWO,previous_best_seeded,31,8.01036358896665,17.326181214449473,13.16690996506337,13.148407534388973,1.9377301318625861,12.387993373033106,13.720896964270866,12.724322747694373,13.648380046371408,2
F2,GWO,population_persistence,31,10.624434596058626,56.5750744466611,25.171385871640037,23.057498481495422,9.940442386479592,18.272196960184267,29.368436268806178,20.070598415783497,28.435494584917453,2
F2,PSO,cold_restart,31,12.691370094786606,17.141792396081783,15.031621545013063,15.126734134300351,1.1901528030460633,14.33257705069082,15.86392282076299,14.656714331745063,15.600692581696775,2
F2,PSO,previous_best_seeded,31,8.226852245491,16.763018185483446,12.626915836854984,12.68455418555823,1.9004439380081286,11.493391584375349,13.405657141568508,11.820121357012257,13.156070574321056,1
F2,PSO,population_persistence,31,8.281143449455458,121.88210912927073,25.066204926380795,16.89710840652504,24.822479384597443,14.674608713018282,23.677631760377743,15.573858049402164,20.320898185228685,1
F2,WOA,cold_restart,31,20.150586126398434,31.56134890038813,26.734221299487245,27.13461993603118,2.797952796664966,24.913794184471758,28.53658212160112,25.30003693863756,27.812617011901743,4
F2,WOA,previous_best_seeded,31,10.704405869017705,26.568652252288913,18.915296135239338,18.051421680005706,3.8152330774609693,16.835852150475084,20.951691466073267,17.59945580227679,19.719315963062225,3
F2,WOA,population_persistence,31,18.28419665121506,53.61191505080348,32.28881991584674,31.860567757685384,8.48519737397963,26.49905340685602,36.779137557374696,28.17421141594614,34.553051817894385,3
F8,SGO,cold_restart,31,31.294922163414824,46.55720440148801,40.33304274902542,40.597145807163365,3.1755020770017093,38.515672651621294,42.496892822227636,39.06293962783039,41.78630209468616,4
F8,SGO,previous_best_seeded,31,23.701729393598093,39.362061289857756,31.708493706462345,31.895955050823204,3.92397588056367,29.368695404570335,33.749408441269324,30.124821242855056,32.56789079053782,4
F8,SGO,population_persistence,31,22.95964242503834,76.50729536788705,45.577274698309445,46.29318287484748,15.810241583048759,33.03341613910561,55.132085521487326,34.930494466652654,52.985263708427475,4
F8,GWO,cold_restart,31,22.66821447965725,34.82625236508886,29.575048463771804,29.590335392939615,2.305539122000438,28.89311799609375,30.92432625681125,29.03715310342848,30.374222040526465,1
F8,GWO,previous_best_seeded,31,14.552639658652517,27.843283990818993,21.502225219277115,20.98816642866944,2.8999698842875294,19.895989809938012,22.734398352187124,20.082244745527166,22.254754401031512,1
F8,GWO,population_persistence,31,10.614382176954281,70.70777143634135,34.89574327701609,27.865188757263873,18.382449674504574,20.926748610881866,49.43434645245571,22.39274603145947,41.14070004172368,2
F8,PSO,cold_restart,31,29.944055830610367,36.92776254087286,33.3707916163153,33.26715487187051,1.4594591289114558,32.63464130618841,33.9021743824472,32.718253699685775,33.76028954388712,2
F8,PSO,previous_best_seeded,31,19.08729302090634,28.915405765964245,23.419194122300354,23.508781173831107,2.690234005317247,21.238828327477563,25.209200696624507,21.581069787709765,24.394910035008333,2
F8,PSO,population_persistence,31,9.078639634473118,48.17874203940178,20.932362089716488,17.560819259480922,8.907607406413605,15.68315952039134,23.79477099226629,16.334454658947553,20.341072084159634,1
F8,WOA,cold_restart,31,31.905332507612872,43.55928268172696,37.22762911516421,37.45547764169004,2.5734400463575193,35.90653593279018,38.620318847360025,36.418244902262735,38.01949285117768,3
F8,WOA,previous_best_seeded,31,16.066818764428916,38.45553815660622,26.29328090075099,25.280606051228965,5.399431892373947,22.446557210883633,28.449997542462807,23.46914485589242,26.813056396769,3
F8,WOA,population_persistence,31,22.3717298151225,75.59534668408874,44.05216004538434,45.326880150127764,13.86405080294911,32.6834592508091,54.65708555007785,36.224163748806454,49.430591717744356,3
F10,SGO,cold_restart,31,150.29161249256055,186.88414839583885,167.6695352954866,168.2227093694824,8.051963040276508,162.9445056681596,171.44178928773954,163.69760535806196,170.24099052260777,3
F10,SGO,previous_best_seeded,31,94.82820117140956,187.7126851276565,151.50827116278165,158.54593260683237,22.82729981268589,145.00134870631152,166.00752327484403,150.67421091876616,163.86327957707542,3
F10,SGO,population_persistence,31,204.91163005919262,257.3383650465203,231.0686356108134,229.6647460119956,13.46614998965564,222.27083343395722,241.94799100529156,226.0155676224857,234.69290285390622,3
F10,GWO,cold_restart,31,104.63063677874807,123.30435812512896,115.34044185031864,115.8046538934198,5.014006942565354,110.8468717535352,118.6172557316253,114.5253365485877,117.7657076375627,1
F10,GWO,previous_best_seeded,31,31.667609132146715,84.2882742510618,50.19309301822771,49.39637167481929,11.66312165223739,43.28059070057019,57.43555322818736,44.371123770508575,55.21936255853029,1
F10,GWO,population_persistence,31,29.250353579694917,210.85970614855137,164.76123026987946,180.27612176126758,40.57462866323911,142.34523221033066,191.87433254395577,159.3390583440491,190.06985466715736,1
F10,PSO,cold_restart,31,130.37226420248945,147.53205752998753,138.15362489886573,138.15186310357697,3.8406241920113264,136.4786260015253,140.07557412466554,137.01534841770024,139.5046616617263,2
F10,PSO,previous_best_seeded,31,58.57753441961345,119.6389334776088,92.61962653369943,93.39062815511211,15.203566391617334,83.98751732540197,100.95904695938353,84.91666075750511,97.14567927189583,2
F10,PSO,population_persistence,31,62.79655657335417,481.50012672344815,269.4077152581675,287.1795399896644,113.38344762663023,182.7734523333939,352.7904849587675,235.48475914368868,337.318740511222,4
F10,WOA,cold_restart,31,163.63256474661605,199.02593404374298,179.43188170096946,179.43016452339464,8.245778410447254,174.7700475690961,183.90240664641146,175.20703134671206,182.234981604877,4
F10,WOA,previous_best_seeded,31,129.0264548024474,196.31056891752434,165.8421190958774,169.62892637024487,15.439099775359391,159.9570986042022,175.24185294353921,161.70287301935144,174.53869101386303,4
F10,WOA,population_persistence,31,161.07586177781803,216.20750426107378,193.36941615069614,191.2578216443715,13.407768402115035,186.93736926986523,202.14118297695313,188.67385214381784,195.49525927723343,2
F12,SGO,cold_restart,31,20.350647833891752,28.993985354800035,25.3248784383962,25.428480329851784,2.1229422603454027,24.590227611018648,26.54027112349001,24.889524862093925,26.05599777849624,3
F12,SGO,previous_best_seeded,31,20.050928638082564,25.740676110999324,23.198752518526614,23.3896219648289,1.6295045897318658,21.88510175846166,24.401740266806843,22.281233857083716,24.150798472345084,3
F12,SGO,population_persistence,31,35.933631281438345,74.29619029350218,52.733681895143526,52.18354354872675,9.655695957439548,46.08239389955387,59.433825651300204,48.3264205907012,57.45033578687781,4
F12,GWO,cold_restart,31,11.898239445799238,18.2774764782026,14.748035139269964,14.81711496325875,1.4392824039298389,13.721792415683073,15.459582634185246,14.132573939963473,15.219469046247292,1
F12,GWO,previous_best_seeded,31,11.235988112589826,15.404274126184669,13.621650545535282,13.65347460034978,1.2296196449860486,12.687091002249236,14.647750276258169,12.975154495391836,14.421633919519216,1
F12,GWO,population_persistence,31,14.284757248499005,53.73363235528861,34.615634242636936,35.893769759221406,9.891342362435442,27.231881770575264,41.343650340621494,28.16657857182829,38.83920488092486,2
F12,PSO,cold_restart,31,12.682576711897921,17.58513961697697,15.142731767045033,15.23227797820415,1.2375076025026701,14.469317513504183,15.884837173954175,14.841271097619801,15.411706168563423,2
F12,PSO,previous_best_seeded,31,10.859495267619188,15.585181288800127,14.019174757603936,14.066291998467152,1.0141206755224446,13.588798132496986,14.732448399434574,13.662101784432624,14.498715087692645,2
F12,PSO,population_persistence,31,10.22508320683141,135.0256758762166,49.97270402519272,43.688488913815426,32.72699512040219,19.539148032979853,73.04679197854341,28.569738077565916,58.82432339254314,3
F12,WOA,cold_restart,31,22.65148135239873,31.660873434065998,26.93880645266211,26.554283005911916,2.2640036247777844,25.347596371232754,28.510471735582087,25.608758928747037,27.863480586466885,4
F12,WOA,previous_best_seeded,31,17.41616647723805,28.848799102738447,23.890026635429788,24.14819156870988,2.5494349293934953,22.436425621123654,25.549530192091826,23.018765799480924,24.752283087994588,4
F12,WOA,population_persistence,31,23.461377300409147,50.77075724295096,34.97679027397599,34.73311218165298,6.511501593512803,30.198526835471117,38.81761259935772,32.358130052605695,37.361776132563705,1
