case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,GWO,cold_restart,1,91.77074942767099,375.182939200806,0.017804040404040402,0.2619959595959596,0.049569940168897125,0.0807953353614622
F10,GWO,cold_restart,2,92.71707169999719,409.90502284671993,0.01568282828282828,0.2561858585858586,0.05223790917859817,0.08048919291653525
F10,GWO,cold_restart,3,84.54204872140588,390.6652946435382,0.013892929292929292,0.2708424242424243,0.059449038075265845,0.07936139941247303
F10,GWO,cold_restart,4,93.61665069363974,420.03184323205977,0.014252525252525253,0.32654747474747475,0.07001806996491008,0.08206640009645723
F10,GWO,cold_restart,5,94.27443890495091,391.1983016591085,0.016066666666666667,0.2772020202020202,0.054857547900917285,0.08123270281463793
F10,GWO,cold_restart,6,88.52101001613032,396.5532679947629,0.017476767676767677,0.29663636363636364,0.06147698430886368,0.08146541753526397
F10,GWO,cold_restart,7,89.56913940677987,398.02787016177,0.014836363636363637,0.25756565656565655,0.055777959152878316,0.08136387771522137
F10,GWO,cold_restart,8,90.9059672707325,390.3017384242973,0.017115151515151514,0.28575959595959594,0.06004885987400373,0.07950098759264465
F10,GWO,cold_restart,9,92.74508287878258,393.44775907157225,0.020096969696969696,0.26964242424242424,0.05629719581111383,0.08143137927576279
F10,GWO,cold_restart,10,78.88823240999074,371.2832308000893,0.01748282828282828,0.2733838383838384,0.05721708778010153,0.0789162706270914
F10,GWO,cold_restart,11,91.45629640034849,398.33321064096293,0.014404040404040403,0.2764787878787879,0.060473546395319,0.08156972954655722
F10,GWO,cold_restart,12,92.13296380308128,386.4970092451263,0.015507070707070705,0.2565777777777778,0.047563881490616994,0.08094671773575822
F10,GWO,cold_restart,13,82.19766577023418,394.7369802885554,0.01506060606060606,0.28882626262626265,0.05985131997393026,0.08161586161152065
F10,GWO,cold_restart,14,89.81060570489245,392.457289092376,0.017745454545454547,0.30044242424242423,0.06368014438751243,0.081153805896217
F10,GWO,cold_restart,15,89.2361625487384,398.47502683210735,0.01746666666666667,0.30072323232323234,0.06190724024716192,0.08053966826238078
F10,GWO,cold_restart,16,82.70400894933972,390.84369237959186,0.016397979797979797,0.28032121212121214,0.05932896613861182,0.0798945458242511
F10,GWO,cold_restart,17,90.73028056064015,395.0383391523516,0.017535353535353536,0.2816181818181818,0.056844453893187354,0.08010647483346113
F10,GWO,cold_restart,18,81.51124062750579,389.9225937392456,0.01802020202020202,0.2696080808080808,0.061330997484882174,0.08018092163097834
F10,GWO,cold_restart,19,81.92285743226584,392.97537024546335,0.020870707070707067,0.27855959595959595,0.06311994930363676,0.07958004841386944
F10,GWO,cold_restart,20,91.61138408021218,409.42919905184607,0.017832323232323234,0.3046020202020202,0.06209649510404542,0.08125046431478705
F10,GWO,cold_restart,21,95.17858885766931,414.4184219663965,0.01753131313131313,0.2769434343434343,0.061268198328284625,0.08067691302878784
F10,GWO,cold_restart,22,92.95797653149145,389.71877107124294,0.02317979797979798,0.3248080808080808,0.071665332538724,0.08138311770079662
F10,GWO,cold_restart,23,84.9755500648709,387.65887166314246,0.016537373737373736,0.25407070707070706,0.053167822602444494,0.07974353779715207
F10,GWO,cold_restart,24,90.18766382952057,402.6634181567067,0.016636363636363637,0.26982626262626264,0.06007843292094612,0.08063697902566523
F10,GWO,cold_restart,25,92.53435866872783,411.374607804888,0.014298989898989898,0.2594787878787879,0.05431060240949478,0.08178709787695077
F10,GWO,cold_restart,26,97.12144423313075,411.8008293559977,0.01723030303030303,0.2608161616161616,0.05650899160732861,0.08173780648857937
F10,GWO,cold_restart,27,86.20199348510248,387.252427039181,0.021214141414141414,0.28143030303030303,0.06093125125397421,0.07881750529577086
F10,GWO,cold_restart,28,91.37723128620682,400.5240921234817,0.016436363636363638,0.2653191919191919,0.05424451842889352,0.08066373666443423
F10,GWO,cold_restart,29,97.56807601404883,396.0737335224653,0.014583838383838383,0.2828848484848485,0.06365905855754293,0.08218115589873815
F10,GWO,cold_restart,30,86.59137727700129,394.83162554843716,0.013765656565656566,0.27983030303030304,0.05385220826981673,0.07928212209882524
F10,GWO,cold_restart,31,93.64593285203881,394.5126655890403,0.014818181818181819,0.2894747474747475,0.05805768418035038,0.08240765474271804
F10,GWO,population_persistence,1,153.99108525893485,243.90897213296097,0.031692929292929294,0.2460828282828283,0.048143100236757615,0.012538215247644384
F10,GWO,population_persistence,2,174.39868225445557,279.0168530902499,0.027260606060606058,0.2076848484848485,0.04632532170722425,0.008887736885328764
F10,GWO,population_persistence,3,122.61037363835122,208.1076479909326,0.12319393939393938,0.39620202020202017,0.1757081984932731,0.019955827591192243
F10,GWO,population_persistence,4,112.12843285777811,206.9976702379936,0.24744040404040404,0.5397070707070707,0.29244086950030745,0.02501517224146293
F10,GWO,population_persistence,5,199.73023197295413,284.5170339410304,0.0353959595959596,0.1282848484848485,0.02818974164619783,0.0063549684273626
F10,GWO,population_persistence,6,183.80931448981005,276.9729355147185,0.0374060606060606,0.2362747474747475,0.06148254422466004,0.012377482151121286
F10,GWO,population_persistence,7,117.39494401455943,217.50273184136688,0.05842626262626263,0.5193737373737374,0.1336208838951317,0.023743201621181233
F10,GWO,population_persistence,8,179.47412322848584,278.47831860935116,0.01929090909090909,0.13734141414141415,0.025439813758333093,0.007665638131324558
F10,GWO,population_persistence,9,193.53302403924016,296.03463266279033,0.020230303030303032,0.1254242424242424,0.021025145157529294,0.0066226090791927875
F10,GWO,population_persistence,10,106.43388398346114,190.5992712682643,0.13384040404040404,0.5455919191919192,0.19566491664435356,0.02571558347934317
F10,GWO,population_persistence,11,151.39420672962657,247.79540826096002,0.06143434343434343,0.33176565656565654,0.09596678601646506,0.015490874675375015
F10,GWO,population_persistence,12,184.43405841859902,283.996259672496,0.020717171717171717,0.14526262626262626,0.02616723777279398,0.008844560577956274
F10,GWO,population_persistence,13,197.25291383152796,295.507173019663,0.021779797979797982,0.10167676767676768,0.018418240836008314,0.005174197678671992
