case,alg,effect,mode_A,mode_B,n,median_A,median_B,median_diff,diff_ci_lo,diff_ci_hi,median_log_ratio,log_ratio_ci_lo,log_ratio_ci_hi,percent_change,wilcoxon_stat,p_raw,cliffs_delta,A_better,p_holm,significant_holm
F2,SGO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,20.207425135770936,25.767574815118536,-5.002792173052111,-6.28024172562904,-3.6908104349052984,-0.22622797500027775,-0.27935224204939246,-0.16990869116015667,-20.24637373906075,0.0,9.313225746154785e-10,-0.8272632674297606,True,2.7939677238464355e-09,True
F2,SGO,E2_persist_minus_cold,population_persistence,cold_restart,31,40.03559050584953,25.767574815118536,15.655295351490903,9.75669839315318,24.24319490254711,0.5110467278563415,0.290043372255127,0.6545980611443402,66.70352142261031,13.0,8.195638656616211e-08,0.8272632674297606,False,8.195638656616211e-08,True
F2,SGO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,40.03559050584953,20.207425135770936,20.309667209090104,15.265786736849702,28.335921946422985,0.7420009995453555,0.5973599382851933,0.8521865516837307,110.01336793681769,0.0,9.313225746154785e-10,0.9250780437044746,False,2.7939677238464355e-09,True
F2,GWO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,13.148407534388973,14.907419697221421,-1.9113452851553063,-2.4238693835937237,-1.5683606925327425,-0.1598831042163014,-0.19038300996231713,-0.11673062186965016,-14.775659319541434,37.0,5.317851901054382e-06,-0.5962539021852237,True,5.317851901054382e-06,True
F2,GWO,E2_persist_minus_cold,population_persistence,cold_restart,31,23.057498481495422,14.907419697221421,9.088273880861907,5.835438869541919,12.93717370727864,0.47240222338920906,0.33156678185481553,0.6212588253944474,60.3842356914783,25.0,8.419156074523926e-07,0.7627471383975026,False,1.6838312149047852e-06,True
F2,GWO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,23.057498481495422,13.148407534388973,10.663794405578797,8.49774611906173,12.132756905976745,0.581385274270857,0.5090569959605796,0.6836269647757754,78.8514298316843,10.0,4.0046870708465576e-08,0.8626430801248699,False,1.2014061212539673e-07,True
F2,PSO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,12.68455418555823,15.126734134300351,-2.5180404421122873,-3.3684029597358247,-1.8769941814314137,-0.19010214295969394,-0.25236570531202474,-0.13910377487694428,-17.3125329796363,11.0,5.122274160385132e-08,-0.7065556711758585,True,1.5366822481155396e-07,True
F2,PSO,E2_persist_minus_cold,population_persistence,cold_restart,31,16.89710840652504,15.126734134300351,1.39251045151798,0.2629730873377163,5.090653563633605,0.09076200167293857,0.015428884321969701,0.2797275132581413,9.500836408484359,99.0,0.0026963530108332634,0.3610822060353798,False,0.0026963530108332634,True
F2,PSO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,16.89710840652504,12.68455418555823,4.198923381932129,2.494080358471498,7.888898003515605,0.2884771561828929,0.17876095048094442,0.51127308751305,33.43938665252908,44.0,1.3524666428565979e-05,0.6295525494276795,False,2.7049332857131958e-05,True
F2,WOA,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,18.051421680005706,27.13461993603118,-7.8298867809653885,-10.145798713999625,-5.7078478183537555,-0.3343749355680267,-0.4539454942676718,-0.26637553117380963,-28.42146414804264,6.0,1.30385160446167e-08,-0.8792924037460979,True,3.91155481338501e-08,True
F2,WOA,E2_persist_minus_cold,population_persistence,cold_restart,31,31.860567757685384,27.13461993603118,5.9074419004466066,2.0946192269484953,8.460017489898274,0.21316666667865677,0.08261863668313046,0.26563226967491477,23.75908992204996,85.0,0.0009035775437951088,0.4630593132154006,False,0.0009035775437951088,True
F2,WOA,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,31.860567757685384,18.051421680005706,12.808339088298315,9.307148145096836,16.50163013788868,0.5387984601847406,0.4203158126234619,0.6492714316748516,71.39462498184945,9.0,3.073364496231079e-08,0.8855359001040582,False,6.146728992462158e-08,True
F8,SGO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,31.895955050823204,40.597145807163365,-8.256840406096224,-10.11583322939174,-7.169619594187651,-0.23457410446438326,-0.28714904761164484,-0.1796936628579178,-20.90923780659987,0.0,9.313225746154785e-10,-0.9001040582726326,True,2.7939677238464355e-09,True
F8,SGO,E2_persist_minus_cold,population_persistence,cold_restart,31,46.29318287484748,40.597145807163365,4.471690608845094,-2.6244132515518928,14.627226497338697,0.0987818129278705,-0.07139845038832132,0.3230497505417258,10.382543284350154,172.0,0.14060599450021982,0.1696149843912591,False,0.14060599450021982,False
F8,SGO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,46.29318287484748,31.895955050823204,12.123997264307569,4.9635189484507904,22.62541366971913,0.34687707342323787,0.15275865599883354,0.5484471774946893,41.46428174828027,62.0,0.00010677427053451538,0.5005202913631633,False,0.00021354854106903076,True
F8,GWO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,20.98816642866944,29.590335392939615,-8.298731099586227,-9.72043083644082,-7.169917210812816,-0.3365880362906092,-0.38434177521526297,-0.29328331111518896,-28.57969949749095,0.0,9.313225746154785e-10,-0.9625390218522373,True,2.7939677238464355e-09,True
F8,GWO,E2_persist_minus_cold,population_persistence,cold_restart,31,27.865188757263873,29.590335392939615,-1.8543249857865263,-6.212143965406991,14.662226721888075,-0.06604379226747763,-0.24502390927256817,0.44066582484272904,-6.391013010395897,188.0,0.24743753485381603,-0.06555671175858481,True,0.24743753485381603,False
F8,GWO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,27.865188757263873,20.98816642866944,7.07833888515864,1.6992765248631088,21.83214393270089,0.30193509816340425,0.08086147739755017,0.7550707704891366,35.24734458503609,99.0,0.0026963530108332634,0.4172736732570239,False,0.005392706021666527,True
F8,PSO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,23.508781173831107,33.26715487187051,-9.692292052522713,-11.371434551319169,-8.720551534680439,-0.34422038299638313,-0.4372321022113735,-0.3054481937552527,-29.122729061727426,0.0,9.313225746154785e-10,-1.0,True,2.7939677238464355e-09,True
