case,effect,comparison,n,sgo_median_log_ratio,other_median_log_ratio,median_difference,diff_ci_lo,diff_ci_hi,wilcoxon_stat,p_raw,cliffs_delta,sgo_effect_larger,same_sign,p_holm,significant_holm
F2,E1_prevbest_minus_cold,SGO vs GWO,31,-0.22622797500027775,-0.1598831042163014,-0.11177248000971893,-0.14681086467834734,-0.0025231574543104485,103.0,0.0035971812903881073,-0.42351716961498437,False,True,0.010791543871164322,True
F2,E1_prevbest_minus_cold,SGO vs PSO,31,-0.22622797500027775,-0.19010214295969394,-0.08712420012333347,-0.13993837188829622,-0.00629090919162989,145.0,0.04345365799963474,-0.2154006243496358,False,True,0.04345365799963474,True
F2,E1_prevbest_minus_cold,SGO vs WOA,31,-0.22622797500027775,-0.3343749355680267,0.14238735650607093,0.037621314592079624,0.17780652902267907,128.0,0.017661521211266518,0.3631633714880333,True,True,0.035323042422533035,True
F2,E2_persist_minus_cold,SGO vs GWO,31,0.5110467278563415,0.47240222338920906,0.046482128608927975,-0.14652585982493993,0.17171753192460826,236.0,0.8241792023181915,0.015608740894901144,True,True,0.8241792023181915,False
F2,E2_persist_minus_cold,SGO vs PSO,31,0.5110467278563415,0.09076200167293857,0.29487851276673716,0.1191070660194381,0.43281390476172454,126.0,0.015742935240268707,0.42351716961498437,True,True,0.031485870480537415,True
F2,E2_persist_minus_cold,SGO vs WOA,31,0.5110467278563415,0.21316666667865677,0.3690501244686041,0.2690636170023069,0.4414738724746162,63.0,0.00011839065700769424,0.5192507804370448,True,True,0.00035517197102308273,True
F2,E3_persist_minus_prevbest,SGO vs GWO,31,0.7420009995453555,0.581385274270857,0.16863655725973237,0.001095479186687398,0.29098549511087435,179.0,0.1820761300623417,0.18210197710718,True,True,0.1820761300623417,False
F2,E3_persist_minus_prevbest,SGO vs PSO,31,0.7420009995453555,0.2884771561828929,0.3107070052460139,0.05393492236398928,0.5651493728420964,118.0,0.00973692536354065,0.4797086368366285,True,True,0.029210776090621948,True
F2,E3_persist_minus_prevbest,SGO vs WOA,31,0.7420009995453555,0.5387984601847406,0.05860990267815269,-0.0674497538250014,0.3727587107292187,144.0,0.04136332217603922,0.32570239334027057,True,True,0.08272664435207844,False
F8,E1_prevbest_minus_cold,SGO vs GWO,31,-0.23457410446438326,-0.3365880362906092,0.07596374179062745,0.013328116036668836,0.1270401396222204,108.0,0.005086471326649189,0.4339229968782518,True,True,0.00827869027853012,True
F8,E1_prevbest_minus_cold,SGO vs PSO,31,-0.23457410446438326,-0.34422038299638313,0.07138757326183354,0.029998235339299018,0.19551788753070154,73.0,0.0003146035596728325,0.5192507804370448,True,True,0.0009438106790184975,True
F8,E1_prevbest_minus_cold,SGO vs WOA,31,-0.23457410446438326,-0.3571830378541345,0.1263035614208613,0.0501503357609594,0.1892803694550607,105.0,0.00413934513926506,0.43184183142559834,True,True,0.00827869027853012,True
F8,E2_persist_minus_cold,SGO vs GWO,31,0.0987818129278705,-0.06604379226747763,-0.04590948876271195,-0.1755190122107007,0.2646575508389188,226.0,0.6776954075321555,0.015608740894901144,False,False,1.0,False
F8,E2_persist_minus_cold,SGO vs PSO,31,0.0987818129278705,-0.63785182106776,0.7008453088899776,0.34146768354379425,0.8215728103482404,11.0,5.122274160385132e-08,0.7398543184183143,True,False,1.5366822481155396e-07,True
F8,E2_persist_minus_cold,SGO vs WOA,31,0.0987818129278705,0.13878319238825418,0.006462306971203091,-0.28823308832949873,0.2734314885324522,229.0,0.7206862810999155,-0.05723204994797086,True,True,1.0,False
F8,E3_persist_minus_prevbest,SGO vs GWO,31,0.34687707342323787,0.30193509816340425,-0.15792898542485032,-0.43713730171888054,0.2564139804340665,240.0,0.8848088048398495,-0.055150884495317375,False,True,0.8848088048398495,False
F8,E3_persist_minus_prevbest,SGO vs PSO,31,0.34687707342323787,-0.25304811195265164,0.6520593906233214,0.19317625973889851,0.7501253270795215,52.0,3.570038825273514e-05,0.6170655567117586,True,False,0.00010710116475820541,True
F8,E3_persist_minus_prevbest,SGO vs WOA,31,0.34687707342323787,0.38102695911166584,-0.06373585134531301,-0.45892189420306895,0.17919180860745731,183.0,0.209396718069911,-0.22164412070759626,False,True,0.418793436139822,False
F10,E1_prevbest_minus_cold,SGO vs GWO,31,-0.02152861178067026,-0.8452670059388486,0.7180626392655366,0.6391726847648087,0.8287905009736369,0.0,9.313225746154785e-10,0.9812695109261186,True,True,2.7939677238464355e-09,True
F10,E1_prevbest_minus_cold,SGO vs PSO,31,-0.02152861178067026,-0.4002924256505294,0.3308102841579529,0.202803895768896,0.4620847887703517,27.0,1.1743977665901184e-06,0.7710718002081165,True,True,2.348795533180237e-06,True
F10,E1_prevbest_minus_cold,SGO vs WOA,31,-0.02152861178067026,-0.044608649631551804,0.0007024963174663817,-0.014267738390322693,0.0366023544963052,242.0,0.9153939224779606,0.10926118626430802,True,True,0.9153939224779606,False
F10,E2_persist_minus_cold,SGO vs GWO,31,0.328560743961101,0.45288727993186884,-0.10142304041019834,-0.15537416243769236,0.029746775858727037,191.0,0.27238877210766077,-0.2757544224765869,False,True,0.27238877210766077,False
F10,E2_persist_minus_cold,SGO vs PSO,31,0.328560743961101,0.7409413932482142,-0.4184450307608943,-0.5991795152358098,-0.27481229015869296,136.0,0.02743559330701828,-0.4380853277835588,False,True,0.05487118661403656,False
F10,E2_persist_minus_cold,SGO vs WOA,31,0.328560743961101,0.06585491367948319,0.2451586886284879,0.22816869617106167,0.27927750195888423,0.0,9.313225746154785e-10,1.0,True,True,2.7939677238464355e-09,True
F10,E3_persist_minus_prevbest,SGO vs GWO,31,0.36263269836330236,1.1801740200396469,-0.7722327455097915,-0.9410002108475575,-0.6270712608643948,28.0,1.3811513781547546e-06,-0.8605619146722164,False,True,2.7623027563095093e-06,True
F10,E3_persist_minus_prevbest,SGO vs PSO,31,0.36263269836330236,1.0716682218681606,-0.6945599345026594,-0.8150942712771375,-0.5569956697269156,69.0,0.0002152901142835617,-0.5962539021852237,False,True,0.0002152901142835617,True
F10,E3_persist_minus_prevbest,SGO vs WOA,31,0.36263269836330236,0.11533171482081056,0.2504218333972902,0.18196684295766696,0.29020474427232434,0.0,9.313225746154785e-10,0.8959417273673257,True,True,2.7939677238464355e-09,True
F12,E1_prevbest_minus_cold,SGO vs GWO,31,-0.0771873300867082,-0.05936352701927483,-0.005897839765227217,-0.0431336175271239,0.012821701578390663,214.0,0.5167645234614611,-0.09469302809573361,False,True,1.0,False
F12,E1_prevbest_minus_cold,SGO vs PSO,31,-0.0771873300867082,-0.06891655829685664,-0.004347216476886739,-0.05713753156511114,0.022535954205891287,216.0,0.5421982295811176,-0.08636836628511967,False,True,1.0,False
F12,E1_prevbest_minus_cold,SGO vs WOA,31,-0.0771873300867082,-0.10237950197776924,0.02030143088230796,0.005223262687174199,0.061370151373026274,166.0,0.111049959436059,0.16129032258064516,True,True,0.333149878308177,False
F12,E2_persist_minus_cold,SGO vs GWO,31,0.7083382828006032,0.884383290577049,-0.15417681169486352,-0.2934949435238911,0.024745178554388403,164.0,0.10233690217137337,-0.25494276795005205,False,True,0.11047910712659359,False
F12,E2_persist_minus_cold,SGO vs PSO,31,0.7083382828006032,0.9771022136810283,-0.32152106513018586,-0.6657957729715923,0.16432601727238894,150.0,0.055239553563296795,-0.2008324661810614,False,True,0.11047910712659359,False
F12,E2_persist_minus_cold,SGO vs WOA,31,0.7083382828006032,0.2619935159255263,0.4458605286661973,0.42263158495727426,0.49589605109481555,0.0,9.313225746154785e-10,0.9771071800208116,True,True,2.7939677238464355e-09,True
F12,E3_persist_minus_prevbest,SGO vs GWO,31,0.7746560812819258,0.9805123193580567,-0.16472675518813795,-0.26966353240176744,0.10901819655778999,171.0,0.13531039096415043,-0.22580645161290322,False,True,0.1883219163864851,False
F12,E3_persist_minus_prevbest,SGO vs PSO,31,0.7746560812819258,1.0883381907954035,-0.48594534065705397,-0.6714078052534542,0.16702293680009694,162.0,0.09416095819324255,-0.2133194588969823,False,True,0.1883219163864851,False
F12,E3_persist_minus_prevbest,SGO vs WOA,31,0.7746560812819258,0.3913019349012049,0.43113902231881085,0.31746284035315875,0.5245390659190917,0.0,9.313225746154785e-10,0.9167533818938606,True,True,2.7939677238464355e-09,True
