case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,initialization_FE,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F2,2,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.588121641944587,8.730687731697902,0.12107684004173044,8.677700520012877
F2,1,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,9.776544005288281,9.406779024621448,0.010242335097237923,9.508956267993199
F2,1,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.156070574321056,9.058776415787241,0.11457323010797751,9.831541774008656
F2,1,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.137423791626736,8.403070289782699,0.12351983090834484,9.872049413999775
F2,2,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,12.68455418555823,9.703244745610965,0.10702754862713423,10.935965195996687
F2,2,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.39602189183353,16.058256803845467,0.010047234261140492,9.010526249010582
F2,2,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.517813305468367,9.288213307364378,0.0782391728175308,28.331654553010594
F2,1,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,56.5750744466611,55.337285540038,0.007058828102971534,29.948475974000758
F2,2,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,11.520467264000718,7.061997642635284,0.09434494184296456,31.331792498996947
F2,2,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,20.01821338306245,19.027045380310295,0.021034136090479317,31.846325468010036
F2,1,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,12.02776261499006,8.747754255426301,0.08622690722962571,34.494536350001
F2,1,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.71411963592762,9.312608844393226,0.08229104613322961,35.067270528001245
F2,3,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.241429477324562,7.924357448412821,0.12138589978933892,11.856568937990232
F2,3,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.478420839280819,8.572198739737455,0.1211138532628848,12.030724610987818
F2,3,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,12.54766059299356,11.879632773645952,0.012206548061185799,10.206382866002969
F2,1,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.571774004483942,12.948562767653716,0.11497274981845798,61.013928353990195
F2,3,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.186526400913623,10.070718926250203,0.08161173815328675,31.354256895006984
F2,3,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.841303766060747,23.59589186634395,0.023140496161620172,29.7833509290067
F2,1,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.97348906611486,23.872409881029498,0.06443062978909551,63.677088181008
F2,3,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,12.842346947578998,9.206190845276918,0.08275807796922459,35.56559370699688
F2,2,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,20.13393062636535,19.4856020643898,0.08180694411985102,70.98666162000154
F2,1,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,29.505058607476048,27.65875952402964,0.11298449126829453,72.73325626799488
F2,1,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,29.97411703011027,28.735382653256842,0.10175567335504533,75.35037495299184
F2,2,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,34.41743872424512,33.00792389462396,0.06810695724005135,70.22981473000254
F2,1,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.49587463633979,22.43345853928469,0.1591979490175866,80.94674058999226
F2,2,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.956406631659718,14.78128911850109,0.15613644850913294,81.4527092849894
F2,2,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.173324858817846,24.475960024706083,0.11385259128770993,71.98445202400035
F2,4,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.126734134300351,9.902911821428944,0.11726910717915469,10.897049812003388
F2,1,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.489218166392103,23.610884623550845,0.1411483536200292,86.3933551700029
F2,3,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,22.66231657804463,19.948654291495703,0.13164757437216462,78.11152675800258
F2,2,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,25.30003693863756,23.44684360120362,0.11318937581813722,79.68556815499323
F2,4,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.162342031403162,9.475429239519297,0.1148342360662205,10.022326535006869
F2,4,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,23.62941984431948,22.329409004159196,0.01116378848620115,10.014431165007409
F2,2,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,25.376380449389092,22.406038375133093,0.13434770639505522,91.99333902100625
F2,3,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,18.632566853112294,16.485204013258276,0.14039072999461663,81.64756592801132
F2,4,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.788439217243166,10.85523503659223,0.08590177759323708,36.25204149899946
F2,4,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.364569833649442,9.483508544706547,0.09401243946792022,33.82035675799125
F2,4,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.144072969076019,13.544105891585566,0.048315930073546065,32.34643220300495
F2,5,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.667900709302085,9.982616892534093,0.11851926758680427,11.010479808988748
F2,3,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,44.33317747114542,42.63857998779804,0.07155900775900974,82.20269007599563
F2,5,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,11.524982874463781,7.689639897920439,0.11008315867368752,10.816158654008177
F2,5,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,59.57017470532952,57.46760110314416,0.01130484154868809,9.993611702011549
F2,5,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.907419697221421,10.208001252840841,0.08305643982596497,32.701773095002864
F2,3,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.227992476714977,15.304540080760134,0.10309359582195798,67.51627773899236
F2,5,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.75547264273756,10.524762277612597,0.08125777546737808,35.419122438004706
F2,3,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,27.572404711415835,26.072526678225273,0.11276484829481555,79.46608057200501
F2,5,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.419267048316357,22.96138792589113,0.02676369624912817,38.05924383099773
F2,4,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,25.52082534536008,22.654768608255008,0.14944447159031324,79.20491893900908
F2,6,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.600692581696775,8.237389196617169,0.13003294436961946,11.10059670699411
F2,3,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,37.29260912521171,36.031692950406,0.05696124803637054,81.88519077000092
F2,4,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,32.8984310529814,31.87162198776991,0.05535644898805208,80.25788487099635
F2,4,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,20.353783664645537,18.172857390821147,0.15676740693313865,82.61324921899359
F2,6,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,18.623909937148614,18.026747980164906,0.006614505799186736,9.502588745992398
F2,6,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,9.894191923882678,5.01538397304464,0.13285929101644256,10.234983356000157
F2,4,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,18.051421680005706,17.39376235447028,0.1191948364250964,73.30515354999807
F2,4,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,22.5707954626067,20.64692542545374,0.11953519817447518,77.84622000200034
F2,4,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,34.553051817894385,33.780532539440046,0.07474307130558626,73.35961474898795
F2,6,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.936712299425949,11.040587926062056,0.08226905862904099,35.914685759998974
F2,6,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,29.662517826575872,28.383948299404395,0.033109953759455746,34.08269129900145
F2,6,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,10.882008208584908,6.761561170780647,0.08904613747461783,35.31722312500642
F2,7,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.859825369677827,8.51495868669876,0.1274496130094059,10.268455177996657
F2,5,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,29.520928011165093,28.543794325718505,0.10381185176473054,82.6553120430035
F2,7,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,10.619153207564056,6.2961314987281325,0.12943160127267012,11.477577847006614
F2,5,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.39916722740462,23.438063029571158,0.14416118597819413,88.8375776130124
F2,5,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,35.217553931834765,34.135231019468684,0.08175624878868738,66.75544692699623
F2,5,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,19.295456699103894,17.49835777829269,0.18005814493614505,89.47808884400001
F2,7,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,15.916027808540576,15.575600582158993,0.008634528187559217,10.148793982996722
F2,5,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,17.59945580227679,16.492057096972243,0.12518708206992807,74.87154701599502
F2,5,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.342543362731647,24.75933752796551,0.1213553991098208,84.62333935999777
F2,7,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.893922553072102,10.234690463269823,0.09025925608933079,30.929855225011124
F2,7,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.702193095783922,10.387271376639108,0.08321079339685458,31.84051127800194
F2,6,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,22.813702002853518,20.771988381341334,0.15529665599856968,78.56572099600453
F2,7,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,42.83376171991258,41.598804936586745,0.012061948096748216,42.11063592300343
F2,8,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.44411850475145,10.855062533689004,0.1224141444578997,11.523719965000055
F2,8,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.763018185483446,11.948634878365313,0.11661084466183147,10.34893576700415
F2,6,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.49318479862705,23.634787862652107,0.14166316871769546,92.82875896799669
F2,6,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,26.387609554763944,24.741606508346866,0.1158946424833357,69.89350885900785
F2,8,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,11.626351842794378,11.200069944132307,0.007173252451755448,11.911354509997182
F2,6,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,36.60451148717292,35.14624944509711,0.07272665998800337,92.18054207699606
F2,6,WOA,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,22.529040979210375,21.468049084015146,0.11876743839906108,71.4738305649953
F2,8,GWO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.354488195856106,9.748306275070277,0.08302789801950484,31.189227747003315
F2,6,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,34.29916465420861,32.87383645431766,0.07104708969586841,74.24918711200007
F2,8,GWO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,13.647997163684382,9.703884732595311,0.09059028467987822,31.38060574499832
F2,8,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,12.94550440639173,11.553041739092953,0.04425734245119046,33.09754027098825
F2,9,PSO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,14.755044540102329,8.967059415825787,0.11895033131226693,9.37263507800526
F2,7,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.78298471907421,14.603335854741234,0.1476166495041795,81.61307214200497
F2,9,PSO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,11.386641580366504,6.9068814099322795,0.11669837233194207,9.679895178996958
F2,7,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.02670186461556,21.206887297648873,0.1387590235980682,83.26147563800623
F2,7,WOA,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,24.963665046004603,23.233742245427756,0.11708724303792639,66.92649858200457
F2,9,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,16.89710840652504,16.520141182778882,0.011340729565474834,9.222018939006375
F2,7,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,32.11133752938617,31.692252875574418,0.0692436437143991,87.32543179599452
F2,7,WOA,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,20,1980,27.568606362826,26.42894542741622,0.06669377874479714,69.21963812300237
