part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,pendcart,SGO,11,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659721207458757,2.790651815534617e-10,2.790651815534617e-10,2.790651815534617e-10,False,4.68853634099653e-05,44.44101799163036,1090.0,53.0,,,
single_step,tuned,pendcart,SGO,12,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.001765915419983834,5.697982722327813e-08,5.697982722327813e-08,5.697982722327813e-08,False,0.000669897612446152,22.340704992529936,554.0,28.0,,,
single_step,tuned,pendcart,SGO,13,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659534915688722,1.8908242185085994e-08,1.8908242185085994e-08,1.8908242185085994e-08,False,0.0003859046328775484,13.99980200221762,352.0,18.0,,,
single_step,tuned,pendcart,SGO,14,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659107590401399,6.164077091743055e-08,6.164077091743055e-08,6.164077091743055e-08,False,0.0006967580403442059,36.64540100726299,916.0,44.0,,,
single_step,tuned,pendcart,SGO,15,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659553331651895,1.7066645867803293e-08,1.7066645867803293e-08,1.7066645867803293e-08,False,0.0003666306098175087,24.832381008309312,610.0,30.0,,,
single_step,tuned,pendcart,SGO,16,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659722479055505,1.5190550683649717e-10,1.5190550683649717e-10,1.5190550683649717e-10,False,3.4592613375683534e-05,38.12885099614505,944.0,46.0,,,
single_step,tuned,pendcart,SGO,17,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659723700681053,2.9742952024902625e-11,2.9742952024902625e-11,2.9742952024902625e-11,False,1.5301624264663083e-05,33.700050989864394,846.0,41.0,,,
single_step,tuned,pendcart,SGO,18,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659632499052239,9.14990583343947e-09,9.14990583343947e-09,9.14990583343947e-09,False,0.0002684507022691629,22.797547993832268,570.0,27.0,,,
single_step,tuned,pendcart,SGO,19,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017658543893947511,1.1801041630617876e-07,1.1801041630617876e-07,1.1801041630617876e-07,False,0.0009640704413306361,21.02038099837955,534.0,26.0,,,
single_step,tuned,pendcart,SGO,20,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017656548234549325,3.17576356124831e-07,3.17576356124831e-07,3.17576356124831e-07,False,0.001581515039490916,12.511929002357647,322.0,15.0,,,
single_step,tuned,pendcart,SGO,21,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017658639067157666,1.0849309529069318e-07,1.0849309529069318e-07,1.0849309529069318e-07,False,0.0009243779444390865,26.544247011770494,672.0,32.0,,,
single_step,tuned,pendcart,SGO,22,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659723660292807,3.3781776638194816e-11,3.3781776638194816e-11,3.3781776638194816e-11,False,1.6315102239233825e-05,17.03866699244827,432.0,20.0,,,
single_step,tuned,pendcart,SGO,23,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659682569976245,4.1428134328006655e-09,4.1428134328006655e-09,4.1428134328006655e-09,False,0.00018062966266432778,19.22134899359662,486.0,23.0,,,
single_step,tuned,pendcart,SGO,24,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659715593363087,8.404747486086966e-10,8.404747486086966e-10,8.404747486086966e-10,False,8.13640019256684e-05,26.012406990048476,662.0,33.0,,,
single_step,tuned,pendcart,SGO,25,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659723996903793,1.2067799017023706e-13,1.2067799017023706e-13,1.2067799017023706e-13,False,9.786082912910388e-07,17.383107988280244,440.0,21.0,,,
single_step,tuned,pendcart,SGO,26,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659700487971948,2.3510138625389837e-09,2.3510138625389837e-09,2.3510138625389837e-09,False,0.000136078538846382,45.94011000881437,1156.0,56.0,,,
single_step,tuned,pendcart,SGO,27,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.001765966328288166,6.0715228912197605e-09,6.0715228912197605e-09,6.0715228912197605e-09,False,0.00021867127920896512,30.888813998899423,776.0,39.0,,,
single_step,tuned,pendcart,SGO,28,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.001765971743738839,6.56072218253867e-10,6.56072218253867e-10,6.56072218253867e-10,False,7.187928985960546e-05,23.579843997140415,608.0,29.0,,,
single_step,tuned,pendcart,SGO,29,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659703580286334,2.041782423906416e-09,2.041782423906416e-09,2.041782423906416e-09,False,0.00012680674243090162,32.71170599327888,844.0,40.0,,,
single_step,tuned,pendcart,SGO,30,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659663937739916,6.006037065690167e-09,6.006037065690167e-09,6.006037065690167e-09,False,0.00021749618094424328,33.12219399958849,842.0,42.0,,,
single_step,tuned,pendcart,SGO,31,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659682664571256,4.133353931692896e-09,4.133353931692896e-09,4.133353931692896e-09,False,0.00018043070384897442,29.720838996581733,772.0,36.0,,,
