system,regime,alg_a,alg_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,mean_diff_abs,median_diff_abs,relative_diff_pct,p_raw,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,delta_ci_excludes_zero,hodges_lehmann,hl_lo,hl_hi,hl_ci_excludes_zero,better,p_holm,significant_holm,exceeds_0.5pct_descriptive,exceeds_1.0pct_descriptive,exceeds_2.0pct_descriptive,evidence,holm_family
cstr,A_tuned_NP,SGO,GWO,20,20,0.29420857407477274,0.2941535200584741,0.294220069348138,0.2941530287887457,0.00018082567977590643,5.829498185860174e-06,5.505401629862794e-05,6.704055939227294e-05,0.018716082774628662,0.285304715907688,0.19999999999999996,-0.19999999999999996,0.6000000000000001,False,6.763411020230259e-05,-7.330350053281615e-05,0.00012257349445817867,False,GWO,0.8559141477230641,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/A_tuned_NP
cstr,A_tuned_NP,SGO,PSO,20,20,0.29420857407477274,0.29467073164020985,0.294220069348138,0.2941524698321996,0.00018082567977590643,0.0023117005488411586,-0.0004621575654371046,6.759951593837688e-05,0.15683863913617135,0.4569506196695641,0.1399999999999999,-0.28,0.6000000000000001,False,6.51019923731122e-05,-7.779760345523121e-05,0.00011786743262485813,False,SGO,0.9139012393391281,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/A_tuned_NP
cstr,A_tuned_NP,SGO,WOA,20,20,0.29420857407477274,0.29472100903662674,0.294220069348138,0.29438199180290164,0.00018082567977590643,0.0006836535266424624,-0.0005124349618539914,-0.0001619224547636522,0.17387120230383984,0.033717668936863225,-0.395,-0.71,-0.020000000000000018,True,-0.00023893349517720153,-0.0007951879273607743,-6.781108881176445e-05,True,SGO,0.1348706757474529,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/A_tuned_NP
cstr,A_tuned_NP,GWO,PSO,20,20,0.2941535200584741,0.29467073164020985,0.2941530287887457,0.2941524698321996,5.829498185860174e-06,0.0023117005488411586,-0.0005172115817357326,5.589565461039392e-07,0.17552187109211884,0.9460839766250224,-0.015000000000000013,-0.4051249999999999,0.38512499999999816,False,-7.72150247629888e-08,-3.322736627342504e-06,1.724572552985748e-06,False,GWO,0.9460839766250224,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/A_tuned_NP
cstr,A_tuned_NP,GWO,WOA,20,20,0.2941535200584741,0.29472100903662674,0.2941530287887457,0.29438199180290164,5.829498185860174e-06,0.0006836535266424624,-0.0005674889781526193,-0.00022896301415592513,0.19255124702769125,0.0008357168217272526,-0.62,-0.85,-0.33499999999999996,True,-0.00022532315223600108,-0.0008012065739832208,-3.372341828691153e-06,True,GWO,0.004178584108636263,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/A_tuned_NP
cstr,A_tuned_NP,PSO,WOA,20,20,0.29467073164020985,0.29472100903662674,0.2941524698321996,0.29438199180290164,0.0023117005488411586,0.0006836535266424624,-5.027739641688678e-05,-0.00022952197070202907,0.017059318771074954,0.00024706130132229516,-0.6799999999999999,-0.9299999999999999,-0.38,True,-5.692786728961341e-06,-0.0007511920961793282,-1.5403985725859215e-06,True,PSO,0.001482367807933771,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/A_tuned_NP
cstr,B_common_NP,SGO,GWO,20,20,0.29442718212119323,0.2941515363408936,0.29433944672104306,0.294150160170901,0.00039997669957006786,4.11931810321297e-06,0.00027564578029964926,0.00018928655014205376,0.09370876784413666,0.0013485824363168647,0.595,0.19999999999999996,0.8999999999999999,True,0.00018606542941360105,5.538534347754309e-05,0.00024858282301976065,True,GWO,0.004908732135985556,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/B_common_NP
cstr,B_common_NP,SGO,PSO,20,20,0.29442718212119323,0.29415232499631405,0.29433944672104306,0.29415225218936053,0.00039997669957006786,9.816182535995264e-07,0.0002748571248791798,0.00018719453168253297,0.0934404053690971,0.001227183033996389,0.6000000000000001,0.19999999999999996,0.8999999999999999,True,0.00018638315542629513,5.6054975217462166e-05,0.00024920255452741256,True,PSO,0.004908732135985556,True,False,False,False,practically negligible under descriptive thresholds,6 pairwise comparisons within cstr/B_common_NP
cstr,B_common_NP,SGO,WOA,20,20,0.29442718212119323,0.2944109461959512,0.29433944672104306,0.2941550085664874,0.00039997669957006786,0.00043844176191957975,1.6235925242025218e-05,0.00018443815455565504,0.005514715214161591,0.40935585574217404,0.15500000000000003,-0.21999999999999997,0.5249999999999999,False,8.933933803279004e-05,-0.00019894596619200868,0.0001995259181140837,False,WOA,0.40935585574217404,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/B_common_NP
cstr,B_common_NP,GWO,PSO,20,20,0.2941515363408936,0.29415232499631405,0.294150160170901,0.29415225218936053,4.11931810321297e-06,9.816182535995264e-07,-7.88655420469464e-07,-2.0920184595207836e-06,0.0002681112313082504,0.09619629624919565,-0.31000000000000005,-0.7,0.10000000000000009,False,-2.008508928952324e-06,-3.110001117079264e-06,1.0168704854818245e-06,False,GWO,0.1923925924983913,False,False,False,False,numerically ordered but statistically uncertain,6 pairwise comparisons within cstr/B_common_NP
