system,n_runs,rho_meaneu_vs_nrmse,p,lo,hi,rho_meaneu_vs_relative_excess,p_excess,median_relative_excess,max_relative_excess,mean_eu_range
cstr,20,0.42105263157894735,0.06448807512897045,-0.00839558955895589,0.7093489780469343,0.42105263157894735,0.06448807512897045,9.174926863158266e-06,0.0028982913627811453,0.016302665488114338
flight,20,-0.25112781954887214,0.2855217106335981,-0.6812705440358688,0.25039841741673086,-0.25112781954887214,0.2855217106335981,0.0001047406121948125,0.0029660784643723674,0.0679595819646654
hvac,20,-0.7714285714285714,6.81246939141708e-05,-0.8799414887847252,-0.5003808073115004,-0.7714285714285714,6.81246939141708e-05,-0.0004359531268532331,6.639284419788956e-07,0.12781077775712588
pendcart,20,-0.10977443609022557,0.6450049409876998,-0.6231288569586442,0.44478717639520865,-0.10977443609022557,0.6450049409876998,-1.1739065088873153e-07,0.00016770181399042237,0.0012909278132651042
uav,20,0.7744360902255639,6.119579516446203e-05,0.38970288206469683,0.9728430381491738,0.7744360902255639,6.119579516446203e-05,0.09770794846595854,2.5415378251641343,0.2148874397331182
