system,submitted_ranking,phase2_ranking,ranking_preserved,submitted_best,phase2_best,submitted_means,phase2_means
pendcart,"PSO,WOA,GWO,SGO","PSO,WOA,GWO,SGO",True,PSO,PSO,"{""SGO"": 0.215027119, ""GWO"": 0.215023461, ""PSO"": 0.214968198, ""WOA"": 0.215022304}","{""SGO"": 0.215027119, ""GWO"": 0.215023461, ""PSO"": 0.214968198, ""WOA"": 0.215022304}"
cstr,"PSO,GWO,WOA,SGO","PSO,GWO,WOA,SGO",True,PSO,PSO,"{""SGO"": 0.277577904, ""GWO"": 0.272747907, ""PSO"": 0.271229191, ""WOA"": 0.277378173}","{""SGO"": 0.277577904, ""GWO"": 0.272747907, ""PSO"": 0.271229191, ""WOA"": 0.277378173}"
flight,"GWO,PSO,SGO,WOA","GWO,PSO,SGO,WOA",True,GWO,GWO,"{""SGO"": 0.015005685, ""GWO"": 0.014483025, ""PSO"": 0.014960027, ""WOA"": 0.01547348}","{""SGO"": 0.015005685, ""GWO"": 0.014483025, ""PSO"": 0.014960027, ""WOA"": 0.01547348}"
hvac,"SGO,PSO,GWO,WOA","SGO,PSO,GWO,WOA",True,SGO,SGO,"{""SGO"": 0.020703614, ""GWO"": 0.020727324, ""PSO"": 0.020708273, ""WOA"": 0.02076692}","{""SGO"": 0.020703614, ""GWO"": 0.020727324, ""PSO"": 0.020708273, ""WOA"": 0.02076692}"
uav,"GWO,WOA,SGO,PSO","GWO,WOA,SGO,PSO",True,GWO,GWO,"{""SGO"": 0.001538515, ""GWO"": 0.000868514, ""PSO"": 0.022244156, ""WOA"": 0.001208394}","{""SGO"": 0.001538515, ""GWO"": 0.000868514, ""PSO"": 0.022244156, ""WOA"": 0.001208394}"
