system,ic,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,rank
cstr,IC1_submitted,GWO,5,0.29415539507264893,0.2941525018057429,6.54420242410686e-06,0.2941525546770811,True,3
cstr,IC1_submitted,PSO,5,0.2941525034113764,0.2941524695593342,4.758890203758528e-08,0.2941525546770811,True,2
cstr,IC1_submitted,SGO,5,0.29405124565832386,0.294003700533162,0.00013247515776426588,0.2941525546770811,True,1
cstr,IC1_submitted,WOA,5,0.29460316665265973,0.2941548940022904,0.0010025048215172518,0.2941525546770811,True,4
cstr,IC2_larger_deviation,GWO,5,0.728822148672497,0.728822122265087,1.0092296271010498e-06,0.7288229751429192,True,1
cstr,IC2_larger_deviation,PSO,5,0.728822974273069,0.7288229752786524,2.1205063865446168e-09,0.7288229751429192,True,2
cstr,IC2_larger_deviation,SGO,5,0.7301501741040248,0.7287902121586356,0.003198746191250458,0.7288229751429192,True,4
cstr,IC2_larger_deviation,WOA,5,0.7289726690018477,0.7288231057711181,0.000334424497421964,0.7288229751429192,True,3
cstr,IC3_concentration_only,GWO,5,1.0052695956160913,1.0052714730240562,1.1712031445899435e-05,1.0052659766658212,True,3
cstr,IC3_concentration_only,PSO,5,1.00493063187587,1.004846960037232,0.0001878129487894588,1.0052659766658212,True,1
cstr,IC3_concentration_only,SGO,5,1.0060742056940428,1.005324100803986,0.001703097628944473,1.0052659766658212,True,4
cstr,IC3_concentration_only,WOA,5,1.0051581593827343,1.0048850286628872,0.0006107815611795757,1.0052659766658212,True,2
cstr,IC4_temperature_only,GWO,5,0.12242217584314083,0.12242235816382566,4.959189368403533e-07,0.12242190435811635,True,1
cstr,IC4_temperature_only,PSO,5,0.12242224304398305,0.12242190438088617,7.575536752571238e-07,0.12242190435811635,True,2
cstr,IC4_temperature_only,SGO,5,0.12244940938141753,0.12244553345749826,4.506084677700404e-05,0.12242190435811635,True,4
cstr,IC4_temperature_only,WOA,5,0.12242474105143428,0.12242419411304165,2.9714786442659928e-06,0.12242190435811635,True,3
cstr,IC5_small_deviation,GWO,5,0.07158017034183206,0.07115348530959946,0.000972904642705978,0.07115553120106793,True,3
cstr,IC5_small_deviation,PSO,5,0.07116449879253404,0.07115553402066807,1.7908749735797962e-05,0.07115553120106793,True,1
cstr,IC5_small_deviation,SGO,5,0.07124269709195377,0.07098448546845147,0.0004361792401430887,0.07115553120106793,True,2
cstr,IC5_small_deviation,WOA,5,0.07227288754174552,0.0723339500114535,0.001102815404178452,0.07115553120106793,True,4
flight,IC1_submitted,GWO,5,0.018188925477043778,0.0181928248407549,8.664674495681444e-06,0.018195653502689445,True,2
flight,IC1_submitted,PSO,5,0.018191769891891297,0.018192827933970146,8.086520968825402e-06,0.018195653502689445,True,3
flight,IC1_submitted,SGO,5,0.018158538578327076,0.0181497663325524,5.249824893202346e-05,0.018195653502689445,True,1
