lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,step,P,Nc,Q_scale
0.253939042026306,0.253939042026306,1.0,-2.1378418508270904,2.220446049250313e-14,True,solved,-2.13784185082709,25,,,4.440892098500626e-16,2.077278118950908e-16,6.673079866459375e-10,4.440892098500626e-16,1.694555606945869e-10,5.653952779608849e-20,1,0,2.6447011398066894e-20,L-BFGS-B,-2.1378418508270904,pendcart,0,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-2.7007600417381497,1.3322676295501878e-14,True,solved,-2.7007600417381497,50,,,0.0,0.0,1.650847281098322e-08,0.0,4.571898415406395e-13,4.115604862097219e-25,1,0,1.5238691325751793e-25,OSQP,-2.7007600417381497,pendcart,6,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.07440895513206784,2.7755575615628914e-17,True,solved,-0.07440895513206786,50,,,1.3877787807814457e-17,1.3877787807814457e-17,2.0940338352204435e-10,-1.3877787807814457e-17,2.7755575615628914e-17,1.5168443017027097e-33,1,0,1.5168443017027097e-33,OSQP,-0.07440895513206786,pendcart,12,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.6108038817840917,4.440892098500626e-16,True,solved,-0.6108038817840916,25,,,1.1102230246251565e-16,1.1102230246251565e-16,1.7541930130704486e-08,1.1102230246251565e-16,4.454708490975179e-09,3.9073211392028946e-17,1,0,3.9073211392028946e-17,L-BFGS-B,-0.6108038817840917,pendcart,18,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.5177386252922387,8.881784197001252e-16,True,solved,-0.5177386252922387,25,,,0.0,0.0,2.0028718239473164e-08,0.0,5.151434834260726e-13,5.225128172470185e-25,1,0,5.225128172470185e-25,OSQP,-0.5177386252922387,pendcart,24,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.01539226352381902,6.938893903907228e-18,True,solved,-0.01539226352381902,50,,,0.0,0.0,3.340881460367484e-10,0.0,1.3877787807814457e-17,3.792110754256774e-34,1,0,3.792110754256774e-34,OSQP,-0.01539226352381902,pendcart,31,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.0017659723998110573,1.951563910473908e-18,True,solved,-0.0017659723998110588,50,,,1.5178830414797062e-18,1.5178830414797062e-18,3.6919029222648447e-09,-1.5178830414797062e-18,0.0,0.0,1,0,0.0,OSQP,-0.0017659723998110588,pendcart,37,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.006675831974918805,1.734723475976807e-18,True,solved,-0.006675831974918807,50,,,2.6020852139652106e-18,2.6020852139652106e-18,5.075268899590313e-09,-2.6020852139652106e-18,6.938893903907228e-18,9.480276885641935e-35,1,0,9.480276885641935e-35,OSQP,-0.006675831974918807,pendcart,43,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.028153072724888515,1.0408340855860843e-17,True,solved,-0.02815307272488851,50,,,3.469446951953614e-18,3.469446951953614e-18,1.189262077705422e-09,3.469446951953614e-18,3.020000777231857e-10,1.7957862291880705e-19,1,0,1.7957862291880705e-19,L-BFGS-B,-0.028153072724888515,pendcart,49,20,1,1.0
0.253939042026306,0.253939042026306,1.0,-0.011209936997297295,5.204170427930421e-18,True,solved,-0.011209936997297297,50,,,1.734723475976807e-18,1.734723475976807e-18,5.1482925145229785e-09,-1.734723475976807e-18,1.3877787807814457e-17,3.792110754256774e-34,1,0,3.792110754256774e-34,OSQP,-0.011209936997297297,pendcart,55,20,1,1.0
