system,alg,NP,requested_FE,realized_FE,trial,difference,overshoot,shortfall,J,interrupted,termination
pendcart,GWO,8,2000,2000,1,0,0,0,-2.137841849463573,False,optimizer loop ended at budget
pendcart,GWO,8,2000,2000,2,0,0,0,-2.1378418472823295,False,optimizer loop ended at budget
pendcart,GWO,8,2000,2000,3,0,0,0,-2.1378418506236194,False,optimizer loop ended at budget
pendcart,GWO,8,2000,2000,4,0,0,0,-2.1378418127174292,False,optimizer loop ended at budget
pendcart,PSO,8,2000,2000,0,0,0,0,-2.137841850827091,False,optimizer loop ended at budget
pendcart,PSO,8,2000,2000,1,0,0,0,-2.137841850827091,False,optimizer loop ended at budget
pendcart,PSO,8,2000,2000,2,0,0,0,-2.137841850827091,False,optimizer loop ended at budget
pendcart,PSO,8,2000,2000,3,0,0,0,-2.137841850827091,False,optimizer loop ended at budget
pendcart,PSO,8,2000,2000,4,0,0,0,-2.137841850827091,False,optimizer loop ended at budget
pendcart,WOA,8,2000,2000,0,0,0,0,-2.1378418508260735,False,optimizer loop ended at budget
pendcart,WOA,8,2000,2000,1,0,0,0,-2.1378418508198065,False,optimizer loop ended at budget
pendcart,WOA,8,2000,2000,2,0,0,0,-2.1378418508242376,False,optimizer loop ended at budget
pendcart,WOA,8,2000,2000,3,0,0,0,-2.1378418508178436,False,optimizer loop ended at budget
pendcart,WOA,8,2000,2000,4,0,0,0,-2.1378418508232637,False,optimizer loop ended at budget
pendcart,SGO,10,200,200,0,0,0,0,-2.1375609701455653,False,optimizer loop ended at budget
pendcart,SGO,10,200,200,1,0,0,0,-2.1374765310977235,False,optimizer loop ended at budget
pendcart,SGO,10,200,200,2,0,0,0,-2.1378333258668363,False,optimizer loop ended at budget
pendcart,SGO,10,200,200,3,0,0,0,-2.1375187246955423,False,optimizer loop ended at budget
pendcart,SGO,10,200,200,4,0,0,0,-2.1374121662057215,False,optimizer loop ended at budget
pendcart,GWO,10,200,200,0,0,0,0,-2.1378395803415957,False,optimizer loop ended at budget
pendcart,GWO,10,200,200,1,0,0,0,-2.1378265596575616,False,optimizer loop ended at budget
pendcart,GWO,10,200,200,2,0,0,0,-2.137829255835731,False,optimizer loop ended at budget
pendcart,GWO,10,200,200,3,0,0,0,-2.13780414675135,False,optimizer loop ended at budget
pendcart,GWO,10,200,200,4,0,0,0,-2.1377939858947093,False,optimizer loop ended at budget
pendcart,PSO,10,200,200,0,0,0,0,-2.1378403434872895,False,optimizer loop ended at budget
pendcart,PSO,10,200,200,1,0,0,0,-2.1378417461143853,False,optimizer loop ended at budget
pendcart,PSO,10,200,200,2,0,0,0,-2.13783581924506,False,optimizer loop ended at budget
pendcart,PSO,10,200,200,3,0,0,0,-2.1378417934182834,False,optimizer loop ended at budget
pendcart,PSO,10,200,200,4,0,0,0,-2.1378418308527043,False,optimizer loop ended at budget
pendcart,WOA,10,200,200,0,0,0,0,-2.137841328104138,False,optimizer loop ended at budget
pendcart,WOA,10,200,200,1,0,0,0,-2.137841832499962,False,optimizer loop ended at budget
pendcart,WOA,10,200,200,2,0,0,0,-2.1378418398017893,False,optimizer loop ended at budget
pendcart,WOA,10,200,200,3,0,0,0,-2.137841760578556,False,optimizer loop ended at budget
pendcart,WOA,10,200,200,4,0,0,0,-2.1378418459149695,False,optimizer loop ended at budget
pendcart,SGO,10,500,500,0,0,0,0,-2.137750175641796,False,optimizer loop ended at budget
pendcart,SGO,10,500,500,1,0,0,0,-2.137779830758981,False,optimizer loop ended at budget
pendcart,SGO,10,500,500,2,0,0,0,-2.1378417700436154,False,optimizer loop ended at budget
pendcart,SGO,10,500,500,3,0,0,0,-2.137790914263878,False,optimizer loop ended at budget
pendcart,SGO,10,500,500,4,0,0,0,-2.1378312759991682,False,optimizer loop ended at budget
pendcart,GWO,10,500,500,0,0,0,0,-2.137841836133543,False,optimizer loop ended at budget
pendcart,GWO,10,500,500,1,0,0,0,-2.137841787102519,False,optimizer loop ended at budget
pendcart,GWO,10,500,500,2,0,0,0,-2.137841794002591,False,optimizer loop ended at budget
pendcart,GWO,10,500,500,3,0,0,0,-2.137841841822313,False,optimizer loop ended at budget
pendcart,GWO,10,500,500,4,0,0,0,-2.1378415405518774,False,optimizer loop ended at budget
pendcart,PSO,10,500,500,0,0,0,0,-2.137841850750724,False,optimizer loop ended at budget
pendcart,PSO,10,500,500,1,0,0,0,-2.1378418495791425,False,optimizer loop ended at budget
pendcart,PSO,10,500,500,2,0,0,0,-2.137841850682669,False,optimizer loop ended at budget
pendcart,PSO,10,500,500,3,0,0,0,-2.137841850791732,False,optimizer loop ended at budget
pendcart,PSO,10,500,500,4,0,0,0,-2.137841850825451,False,optimizer loop ended at budget
pendcart,WOA,10,500,500,0,0,0,0,-2.1378418508177295,False,optimizer loop ended at budget
pendcart,WOA,10,500,500,1,0,0,0,-2.137841850813033,False,optimizer loop ended at budget
pendcart,WOA,10,500,500,2,0,0,0,-2.1378418497070233,False,optimizer loop ended at budget
pendcart,WOA,10,500,500,3,0,0,0,-2.1378417540038726,False,optimizer loop ended at budget
pendcart,WOA,10,500,500,4,0,0,0,-2.137841850620338,False,optimizer loop ended at budget
pendcart,SGO,10,1000,1000,0,0,0,0,-2.137834585267036,False,optimizer loop ended at budget
pendcart,SGO,10,1000,1000,1,0,0,0,-2.137779830758981,False,optimizer loop ended at budget
pendcart,SGO,10,1000,1000,2,0,0,0,-2.1378417700436154,False,optimizer loop ended at budget
pendcart,SGO,10,1000,1000,3,0,0,0,-2.1378250176854667,False,optimizer loop ended at budget
pendcart,SGO,10,1000,1000,4,0,0,0,-2.1378412671683695,False,optimizer loop ended at budget
pendcart,GWO,10,1000,1000,0,0,0,0,-2.137841838195453,False,optimizer loop ended at budget
pendcart,GWO,10,1000,1000,1,0,0,0,-2.1378416558160036,False,optimizer loop ended at budget
pendcart,GWO,10,1000,1000,2,0,0,0,-2.137841790154027,False,optimizer loop ended at budget
pendcart,GWO,10,1000,1000,3,0,0,0,-2.1378418504247327,False,optimizer loop ended at budget
