system,regime,alg,runs,NP,nrmse_mean,nrmse_std,nrmse_median,nrmse_min,nrmse_max,reference_nrmse,nfe_per_step_mean,nfe_exact,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_over_dt,max_over_dt,first_input_err,rank_in_system_regime
cstr,A_tuned_NP,GWO,20,20,0.29415352005847406,5.829498185888589e-06,0.2941530287887457,0.2941446626502985,0.29416867465103286,0.2941525546770811,1000.0,True,12.599893716556835,12.593026324611856,12.806267533887876,13.24671201291494,0.1,0.12806267533887877,0.1324671201291494,0.0001348253058228017,1
cstr,A_tuned_NP,PSO,20,8,0.29467073164020985,0.0023117005488411703,0.29415246983219967,0.2941524676802593,0.30449204394466206,0.2941525546770811,1000.0,True,4.2087907003297005,4.208426222612616,4.2815963463363005,4.706884996267036,0.1,0.042815963463363006,0.047068849962670356,0.004900744494635629,3
cstr,A_tuned_NP,SGO,20,30,0.29420857407477274,0.00018082567977589222,0.29422006934813805,0.29391488860355225,0.2947030161783265,0.2941525546770811,1000.0,True,11.52035467796668,11.517708298197249,11.80189945436723,13.490073004504666,0.1,0.1180189945436723,0.13490073004504666,0.0011954324355004172,2
cstr,A_tuned_NP,WOA,20,10,0.29472100903662685,0.0006836535266424564,0.2943819918029017,0.2941523016586488,0.2960002162207537,0.2941525546770811,1000.0,True,7.5262818178889574,7.519655477517517,7.676960531753139,8.627813018392771,0.1,0.07676960531753138,0.08627813018392771,0.009760506893661659,4
cstr,B_common_NP,GWO,20,20,0.2941515363408936,4.119318103210641e-06,0.294150160170901,0.29414525909760325,0.2941615034856558,0.2941525546770811,1000.0,True,12.573718118466786,12.564696222398197,12.788153094879817,14.747414010344073,0.1,0.12788153094879817,0.14747414010344073,0.00013136019272876862,1
cstr,B_common_NP,PSO,20,20,0.2941523249963141,9.816182536004831e-07,0.29415225218936053,0.29415066582259064,0.294155461308643,0.2941525546770811,1000.0,True,3.485483406824642,3.484915503213415,3.550653448328376,4.065823013661429,0.1,0.03550653448328376,0.04065823013661429,0.003438920257268538,2
cstr,B_common_NP,SGO,20,20,0.29442718212119334,0.00039997669957006824,0.2943394467210431,0.2938866832705508,0.2956578847975046,0.2941525546770811,1000.0,True,11.614961084982497,11.603562850359594,11.909932067064801,14.875035994919017,0.1,0.11909932067064802,0.14875035994919017,0.001333067364675904,4
cstr,B_common_NP,WOA,20,20,0.2944109461959512,0.00043844176191957563,0.29415500856648746,0.293842854531801,0.2955485420110337,0.2941525546770811,1000.0,True,7.38514326576842,7.378923098440282,7.534398170464556,10.77147902105935,0.1,0.07534398170464555,0.10771479021059349,0.009701530524962225,3
flight,A_tuned_NP,GWO,20,30,0.018197737855756065,1.3662492181590865e-05,0.018197176432434438,0.018159797485472272,0.018222911984847153,0.018195653502689445,1000.0,True,12.46105559465165,12.444461073027924,12.68106049101334,20.873481989838183,0.1,0.1268106049101334,0.20873481989838183,0.00511889650124721,4
flight,A_tuned_NP,PSO,20,30,0.018194337678756015,6.429856302802922e-06,0.018195455813666488,0.018180755597685852,0.018204402964346524,0.018195653502689445,1000.0,True,3.345486065663863,3.3414045756217092,3.409332445371547,3.827840992016718,0.1,0.03409332445371547,0.03827840992016718,0.02029025887574058,3
flight,A_tuned_NP,SGO,20,8,0.01816648739581213,6.880770250903747e-05,0.018179544455994307,0.018028552094103582,0.018305700214061423,0.018195653502689445,1000.0,True,12.86652274208609,12.84907632652903,13.231930668480345,20.09648099192418,0.1,0.13231930668480346,0.20096480991924182,0.035918183738028374,1
flight,A_tuned_NP,WOA,20,10,0.018185833888788673,3.1526548263518206e-05,0.01819330873841466,0.01805486944224217,0.01820586787553574,0.018195653502689445,1000.0,True,7.496501581209789,7.494173423037864,7.6419374195393175,8.248808997450396,0.1,0.07641937419539317,0.08248808997450396,0.0066662516333410235,2
flight,B_common_NP,GWO,20,20,0.018195026888367872,9.749134367712482e-06,0.018194080435702843,0.018173119589803683,0.0182116338368371,0.018195653502689445,1000.0,True,12.605653362271067,12.581788825627882,12.821090685029048,30.408302001887932,0.1,0.1282109068502905,0.3040830200188793,0.0037184438584296708,3
