system,Nc,source,k,max_cart_over_box,min_cart_over_box,worst_abs_cart_over_box,limit,penalty_can_activate,margin
pendcart,1,deterministic,0,1.5697602982579666,-1.0,1.5697602982579666,10.0,False,8.430239701742034
pendcart,1,deterministic,1,1.5884382000036372,-0.9935020587268573,1.5884382000036372,10.0,False,8.411561799996363
pendcart,1,deterministic,2,1.6212453497895332,-0.9812132993023885,1.6212453497895332,10.0,False,8.378754650210468
pendcart,1,deterministic,3,1.6686224995166674,-0.9624304484086971,1.6686224995166674,10.0,False,8.331377500483333
pendcart,1,deterministic,4,1.7280514394706794,-0.9369253365445908,1.7280514394706794,10.0,False,8.27194856052932
pendcart,1,deterministic,5,1.8004963496227322,-0.9044165315326568,1.8004963496227322,10.0,False,8.199503650377268
pendcart,1,deterministic,6,1.887289182335001,-0.8646474040913553,1.887289182335001,10.0,False,8.112710817664999
pendcart,1,deterministic,7,1.9830435674746663,-0.8180951058405409,1.9830435674746663,10.0,False,8.016956432525333
pendcart,1,deterministic,8,2.085027929040856,-0.7653608428674539,2.085027929040856,10.0,False,7.914972070959144
pendcart,1,deterministic,9,2.1902884938568143,-0.7072575007999465,2.1902884938568143,10.0,False,7.809711506143186
pendcart,1,deterministic,10,2.299073541469612,-0.6447659072924734,2.299073541469612,10.0,False,7.700926458530388
pendcart,1,deterministic,11,2.4076398503980627,-0.5789839142823661,2.4076398503980627,10.0,False,7.592360149601937
pendcart,1,deterministic,12,2.5105928716266663,-0.5110727167802378,2.5105928716266663,10.0,False,7.489407128373333
pendcart,1,deterministic,13,2.6056086192397694,-0.44220458338383595,2.6056086192397694,10.0,False,7.394391380760231
pendcart,1,deterministic,14,2.69086486389212,-0.37351528674824624,2.69086486389212,10.0,False,7.30913513610788
pendcart,1,deterministic,15,2.765062210064448,-0.30606336836187276,2.765062210064448,10.0,False,7.234937789935552
pendcart,1,deterministic,16,2.8274157793258357,-0.24079729547052886,2.8274157793258357,10.0,False,7.172584220674164
pendcart,1,deterministic,17,2.8776273532496695,-0.17853076359735937,2.8776273532496695,10.0,False,7.12237264675033
