system,nrmse_zero,nrmse_hold,nrmse_abs_diff,nrmse_rel_diff,max_state_dev_zero,max_state_dev_hold,max_input_zero,max_input_hold,mean_first_control_diff,max_first_control_diff,input_range
pendcart,0.21502249023296663,3.885342707094712,3.6703202168617457,17.069471258030397,3.3415926535897933,24.186563214938804,5.0,4.999999999999999,3.0469858066039093,7.446413887236394,10.0
cstr,0.2941525550611931,0.7840451424061524,0.48989258734495933,1.6654371308896028,2.599669649955,4.861820400337399,1.0,1.0,0.7977247105430453,1.0008983471374817,2.0
flight,0.01819565344848985,0.020441952497158578,0.002246299048668729,0.12345250776663703,0.11910695086970434,0.10261278487205555,10.0,6.739095773538936,1.0055205517221906,5.782073196558765,20.0
hvac,0.0207668939439653,0.01967364468891328,0.0010932492550520187,0.05264385025521395,21.982944229375363,21.996243230267105,48.0,48.0,4.026970395565533,45.640561968462684,96.0
uav,0.0008692984220871418,0.0012114650953275877,0.0003421666732404459,0.3936124402698453,9.983262685110141,9.987157717595421,1.0,0.29322851192520044,0.0043885071167400315,0.7068261852122781,2.0
