system,tail,alg,trial,seed,NP,nrmse,reference_nrmse,mean_norm_gap,median_norm_gap,mean_first_input_error,realized_fe_mean,fe_exact,time_ms_mean
flight,zero,SGO,0,19000000,8,0.018153990271844313,0.01819565344848985,9.417326608217003e-05,2.1155153183017726e-08,0.015370726364184274,1000.0,True,18.59014154644683
flight,zero,SGO,1,19000001,8,0.018164626932211048,0.01819565344848985,5.6649460224390104e-05,1.8751845477042446e-08,0.00960278524456438,1000.0,True,18.522800509041797
flight,zero,SGO,2,19000002,8,0.018117669153430743,0.01819565344848985,0.00040522655049480356,3.444244744878894e-08,0.021066410262613463,1000.0,True,18.924137358553708
flight,zero,SGO,3,19000003,8,0.018172388299925728,0.01819565344848985,0.0003396783384547196,1.5434694350598114e-08,0.024434834049731912,1000.0,True,18.50464107274699
flight,zero,SGO,4,19000004,8,0.018142767681601432,0.01819565344848985,7.062021947512309e-05,2.282654532725887e-08,0.013943034243524478,1000.0,True,18.618360562250018
flight,zero,SGO,5,19000005,8,0.017953568562018754,0.01819565344848985,0.0035534528266530628,1.6176727415291693e-08,0.04504152215080087,1000.0,True,18.751651869000245
flight,zero,SGO,6,19000006,8,0.018230334198074617,0.01819565344848985,0.0010061786248183847,1.2535805962866881e-08,0.031118593226094192,1000.0,True,18.845587860948097
flight,zero,SGO,7,19000007,8,0.018144191726518495,0.01819565344848985,9.41023537743684e-05,1.0146365417651053e-08,0.014360576891703976,1000.0,True,19.094203827359404
flight,zero,SGO,8,19000008,8,0.01816731114550661,0.01819565344848985,0.001876600124389994,2.2225126329654486e-08,0.04538693239934084,1000.0,True,18.628736240013193
flight,zero,SGO,9,19000009,8,0.018230763135559488,0.01819565344848985,0.00031008242441459417,1.1557113780073076e-08,0.022723148062506214,1000.0,True,18.74987977789715
flight,zero,GWO,0,19001000,30,0.018208841564166658,0.01819565344848985,2.283243451791083e-06,2.5861656044048962e-09,0.003471164672224388,1000.0,True,17.486183615401387
flight,zero,GWO,1,19001001,30,0.018198845485012053,0.01819565344848985,2.450801395869118e-06,3.445459440093424e-09,0.0032168009045190596,1000.0,True,17.785114934667945
flight,zero,GWO,2,19001002,30,0.018181348765941685,0.01819565344848985,2.7421188557873344e-06,2.7803367934001076e-09,0.004418866111921171,1000.0,True,17.966567693122972
flight,zero,GWO,3,19001003,30,0.01821443271777678,0.01819565344848985,4.0047733473088944e-06,5.627358399114225e-09,0.004327953216459345,1000.0,True,18.04972278691518
flight,zero,GWO,4,19001004,30,0.01820444028159523,0.01819565344848985,3.3385923438897047e-06,5.208577087646368e-09,0.004228256836767983,1000.0,True,17.592576066187274
flight,zero,GWO,5,19001005,30,0.01821095600654373,0.01819565344848985,3.3992241691480977e-06,3.575051938433391e-09,0.0035331798279364056,1000.0,True,17.897800240122404
flight,zero,GWO,6,19001006,30,0.018199592584406683,0.01819565344848985,4.0421826882642556e-06,4.7080867918733536e-09,0.004504186764818678,1000.0,True,17.67621862546851
flight,zero,GWO,7,19001007,30,0.01817315607057884,0.01819565344848985,3.544814580784283e-06,3.653147098864882e-09,0.004160986591395003,1000.0,True,17.518607709401596
