system,step,Nc,dim,J_star,ref_spread,ref_starts,H_symmetry_rel,lambda_min,lambda_max,H_psd,cond_H,has_soft_penalty,kkt_free_residual,kkt_lower_residual,kkt_upper_residual,kkt_residual_abs,kkt_residual_rel,proj_grad_norm,subopt_bound_abs,subopt_bound_norm,n_free,n_at_lower,n_at_upper,grad_inf_norm,model_fidelity_rel,convexity_midpoint_worst,convexity_second_diff_min,convex_ok,grad_fd_rel_worst,grad_fd_rel_worst_in_penalty,max_abs_predicted_cart,penalty_limit,n_samples_in_penalty_region,penalty_active,J_osqp,osqp_status,osqp_rel_diff,osqp_minus_ref
pendcart,0,1,1,-2.1378418508270904,2.220446049250313e-14,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,1.694555606945869e-10,0.0,0.0,1.694555606945869e-10,1.694555606658717e-10,1.694555606945869e-10,5.653952779608849e-20,2.6447011398066894e-20,1,0,0,1.694555606945869e-10,,0.0,0.03163864320546497,True,1.2603532800747885e-10,,1.5688746418067148,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,6,1,1,-2.7007600417381497,1.3322676295501878e-14,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,4.192602931496481e-09,0.0,0.0,4.192602931496481e-09,4.192602913918562e-09,4.192602931496481e-09,3.4610509673758546e-17,1.2815099875175872e-17,1,0,0,4.192602931496481e-09,,0.0,0.030585491540418435,True,1.389583587085852e-10,,1.8832109976475309,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,12,1,1,-0.07440895513206784,2.7755575615628914e-17,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,5.3175713832231963e-11,0.0,0.0,5.3175713832231963e-11,5.317571382940431e-11,5.3175713832231963e-11,5.567589211576422e-21,5.567589211576422e-21,1,0,0,5.3175713832231963e-11,,0.0,0.06172133506805466,True,7.939051745426608e-11,,2.5079849862431938,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,18,1,1,-0.6108038817840917,4.440892098500626e-16,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,4.454708490975179e-09,0.0,0.0,4.454708490975179e-09,4.45470847113075e-09,4.454708490975179e-09,3.9073211392028946e-17,3.9073211392028946e-17,1,0,0,4.454708490975179e-09,,0.0,0.04306644640797239,True,1.0466394417818492e-10,,2.913998375419974,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,24,1,1,-0.5177386252922387,8.881784197001252e-16,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,5.086588705793815e-09,0.0,0.0,5.086588705793815e-09,5.0865886799204304e-09,5.086588705793815e-09,5.094408574485551e-17,5.094408574485551e-17,1,0,0,5.086588705793815e-09,,0.0,0.046534827219260555,True,7.784517475073471e-11,,2.942820159610363,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,31,1,1,-0.01539226352381902,6.938893903907228e-18,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,8.483801161585092e-11,0.0,0.0,8.483801161585092e-11,8.483801160865344e-11,8.483801161585092e-11,1.4171684978999122e-20,1.4171684978999122e-20,1,0,0,8.483801161585092e-11,,0.0,0.07071283528676904,True,9.274476953039974e-11,,2.8437884733369176,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,37,1,1,-0.0017659723998110573,1.951563910473908e-18,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,9.375182921655956e-10,0.0,0.0,9.375182921655956e-10,9.37518291286655e-10,9.375182921655956e-10,1.730613262796439e-18,1.730613262796439e-18,1,0,0,9.375182921655956e-10,,0.0,0.07794595472944535,True,1.3126861075675974e-10,,2.8429813656945586,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,43,1,1,-0.006675831974918805,1.734723475976807e-18,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,1.2888089345741705e-09,0.0,0.0,1.2888089345741705e-09,1.2888089329131421e-09,1.2888089345741705e-09,3.270525982503587e-18,3.270525982503587e-18,1,0,0,1.2888089345741705e-09,,0.0,0.07768790414156296,True,1.0143766775127595e-10,,2.896394746552397,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,49,1,1,-0.028153072724888515,1.0408340855860843e-17,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,3.020000777231857e-10,0.0,0.0,3.020000777231857e-10,3.020000776319817e-10,3.020000777231857e-10,1.7957862291880705e-19,1.7957862291880705e-19,1,0,0,3.020000777231857e-10,,0.0,0.07358577873583398,True,8.406485217323876e-11,,2.9202337698040135,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
pendcart,55,1,1,-0.011209936997297295,5.204170427930421e-18,21,0.0,0.253939042026306,0.253939042026306,True,1.0,True,1.3073524762763356e-09,0.0,0.0,1.3073524762763356e-09,1.3073524745671651e-09,1.3073524762763356e-09,3.365316501920194e-18,3.365316501920194e-18,1,0,0,1.3073524762763356e-09,,0.0,0.07511868438896536,True,1.234562844228535e-10,,2.898731068177228,10.0,0,False,,"n/a (soft penalty, not a pure QP)",,
