system,condition,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,median_drift,p90_drift,max_drift,frac_non_benign,rank,relative_excess_vs_reference
hvac,measurement_noise,GWO,10,0.040102487297492925,0.040106285320230375,1.8041127960851065e-05,0.04010683502094508,True,0.014602736529429396,0.18530505864803032,0.7361146929516449,0.8045112781954887,3,-0.00010840355390505375
hvac,measurement_noise,PSO,10,0.040039499805029785,0.04003832110999997,1.8177134424343126e-05,0.04010683502094508,True,0.014602736529429396,0.18530505864803032,0.7361146929516449,0.8045112781954887,1,-0.0016788962749149782
hvac,measurement_noise,SGO,10,0.040107531257188175,0.04011260100067783,2.1672067896911423e-05,0.04010683502094508,True,0.014602736529429396,0.18530505864803032,0.7361146929516449,0.8045112781954887,4,1.7359540904495508e-05
hvac,measurement_noise,WOA,10,0.04009942917973396,0.04009995787686292,1.9736741003993045e-05,0.04010683502094508,True,0.014602736529429396,0.18530505864803032,0.7361146929516449,0.8045112781954887,2,-0.00018465284551246887
hvac,nominal,GWO,10,0.04007842112851108,0.04007846592602475,2.373780240344736e-06,0.04009219076759363,True,5.568107460054563e-05,6.219862909625945e-05,6.296399707494626e-05,0.0,3,-0.000343449405455726
hvac,nominal,PSO,10,0.040071235225672186,0.04007283539137582,1.1470355253314284e-05,0.04009219076759363,True,5.568107460054563e-05,6.219862909625945e-05,6.296399707494626e-05,0.0,2,-0.0005226838823280174
hvac,nominal,SGO,10,0.040068689715387226,0.04006804066672884,6.100346319413533e-06,0.04009219076759363,True,5.568107460054563e-05,6.219862909625945e-05,6.296399707494626e-05,0.0,1,-0.0005861753063740508
hvac,nominal,WOA,10,0.040092179970382856,0.0400921769747986,7.935057509313407e-08,0.04009219076759363,True,5.568107460054563e-05,6.219862909625945e-05,6.296399707494626e-05,0.0,4,-2.69309572876309e-07
hvac,process_disturbance,GWO,10,0.04303950652256679,0.04138944562148249,0.006323973809041222,0.03636963376125622,True,0.008521355430073183,0.05963370276975721,0.45410583590441456,0.8671679197994987,2,0.18339125450352578
hvac,process_disturbance,PSO,10,0.04138026986323061,0.04172245669366083,0.0020004188874240495,0.03636963376125622,True,0.008521355430073183,0.05963370276975721,0.45410583590441456,0.8671679197994987,1,0.13776977065169427
