system,Nc,dim,alg,n,median_gap,q1,q3,conv_rate,first_ctrl_err,cond_H,lambda_min,n_active_reference,time_ms,fe_exact
cstr,1,2,GWO,60,2.7937196428531766e-15,5.401489234765369e-16,4.755172745182765e-09,1.0,1.103944988027811e-07,8007.522777441203,0.11920134987966657,0.3333333333333333,13.551543495850638,True
cstr,1,2,PSO,60,5.288983502326315e-12,1.8546028562216822e-16,1.3246125312711794e-11,1.0,9.246221013677963e-06,8007.522777441203,0.11920134987966657,0.3333333333333333,4.544486524537206,True
cstr,1,2,SGO,60,1.3339427898867642e-11,1.3246125312711794e-11,2.0646719630260233e-06,0.8833333333333333,1.474408716596461e-05,8007.522777441203,0.11920134987966657,0.3333333333333333,11.819010484032333,True
cstr,1,2,WOA,60,1.2971428883560823e-11,1.292829647754451e-11,1.3060871857347032e-11,0.8666666666666667,1.4748188761371026e-05,8007.522777441203,0.11920134987966657,0.3333333333333333,8.013821992790326,True
cstr,2,4,GWO,60,7.841037362818089e-13,2.309889731834611e-13,3.959800044527248e-08,0.95,3.5852395440675333e-07,88127.96413002364,0.021445503460923172,1.0,21.52113348711282,True
cstr,2,4,PSO,60,1.3795027160822697e-11,5.167590586117477e-16,1.3889600443152457e-11,0.95,1.1628114284548035e-05,88127.96413002364,0.021445503460923172,1.0,4.568303527776152,True
cstr,2,4,SGO,60,1.3889600443152457e-11,1.3795027160822697e-11,0.01869745290675383,0.7,1.16413491235919e-05,88127.96413002364,0.021445503460923172,1.0,12.00006651924923,True
cstr,2,4,WOA,60,1.3127621255366967e-11,1.2900536660201788e-11,1.7731736166345607e-10,0.8,1.1655943395843898e-05,88127.96413002364,0.021445503460923172,1.0,7.958526985021308,True
cstr,3,6,GWO,60,4.434581686126615e-12,6.762543006257643e-13,0.000658083879522196,0.7333333333333333,1.0021471682373061e-06,130866.55959760725,0.02135629115282952,1.6666666666666667,29.42065999377519,True
cstr,3,6,PSO,60,1.3890675789005197e-11,1.3796100536281666e-11,1.3890675789005197e-11,0.8166666666666667,1.1621838248162983e-05,130866.55959760725,0.02135629115282952,1.6666666666666667,4.586871480569243,True
cstr,3,6,SGO,60,1.3890675789005197e-11,1.3796100536281666e-11,0.011501300484935853,0.6666666666666666,1.1635069396155134e-05,130866.55959760725,0.02135629115282952,1.6666666666666667,11.948349478188902,True
cstr,3,6,WOA,60,1.2910545809954672e-11,1.2670896631423464e-11,0.14284577788512054,0.6666666666666666,1.164913881201437e-05,130866.55959760725,0.02135629115282952,1.6666666666666667,7.967900019139051,True
cstr,5,10,GWO,60,5.514558052156215e-12,1.2078388301324767e-12,0.0134105241313889,0.6666666666666666,3.4560219251082833e-06,209860.10342288556,0.021307568140349623,2.0,44.40194150083698,True
cstr,5,10,PSO,60,1.389067642408316e-11,1.3796101170564074e-11,0.001106356021283198,0.7166666666666667,1.1621834393300004e-05,209860.10342288556,0.021307568140349623,2.0,4.607150505762547,True
cstr,5,10,SGO,60,1.389067642408316e-11,1.3796101170564074e-11,0.024608628816616657,0.6666666666666666,1.1635065541696746e-05,209860.10342288556,0.021307568140349623,2.0,11.957618989981711,True
cstr,5,10,WOA,60,1.2166990001907298e-11,1.1954402440618268e-11,0.13631175422708514,0.6666666666666666,1.1647506053732478e-05,209860.10342288556,0.021307568140349623,2.0,7.898287498392165,True
cstr,8,16,GWO,60,6.443253398566886e-12,5.311887652898316e-12,0.025484180819851866,0.6666666666666666,1.1453139405450339e-05,306579.7752409894,0.021291488205300357,2.0,68.12851299764588,True
cstr,8,16,PSO,60,1.3890676424085158e-11,1.3796101170566059e-11,0.006979515108551267,0.6666666666666666,1.162183439398472e-05,306579.7752409894,0.021291488205300357,2.0,4.688049026299268,True
cstr,8,16,SGO,60,1.3890676424085158e-11,1.3796101170566059e-11,0.07213894299215967,0.6666666666666666,1.1635065542384704e-05,306579.7752409894,0.021291488205300357,2.0,11.911144480109215,True
cstr,8,16,WOA,60,1.1304565615995553e-11,1.115829205703202e-11,0.230472913578671,0.6666666666666666,1.1644971522289103e-05,306579.7752409894,0.021291488205300357,2.0,7.991606486029923,True
flight,1,2,GWO,80,3.4996820337819805e-10,2.1099724895086844e-11,9.80744245300298e-08,0.95,0.0001351354832856977,7.241079690887331,0.03596684187208898,0.25,13.23545552440919,True
flight,1,2,PSO,80,1.7075167804861592e-07,7.368787564794466e-08,7.952508083460702e-06,0.975,0.002758050540219135,7.241079690887331,0.03596684187208898,0.25,3.5542975238058716,True
flight,1,2,SGO,80,9.960092185737939e-08,3.5667412064474543e-10,6.760637858920053e-05,0.75,0.0022770594390411833,7.241079690887331,0.03596684187208898,0.25,13.330544024938717,True
