system,Nc,dim,pairs,df_scaled_median,df_scaled_max,df_relative_median,df_angle_median,df_angle_max,state_vs_ref_median,ref_contrib_median,dU_shift_norm_median,dU_shift_norm_max,dU_raw_norm_median,warm_gap_median,warm_gap_max,cold_gap_median,warm_over_cold_median,active_change_mean,cond_H,max_subopt_bound
cstr,1,2,25,2.186528457876317e-10,0.2799737888333754,0.2799737888333754,0.0004371512830177741,0.10116514419706867,8.293666846363261e-07,0.0,9.802219160109947e-08,0.05426005312281325,9.802219160109947e-08,6.112193377705025e-15,0.03390838426929188,1.3196325331797849e-11,0.0004590642848818946,0.0,8007.522777441203,1.2141873056720993e-10
cstr,3,6,25,2.7349894873634566e-08,0.29490900178323787,1.3819805954787008,4.185025628299036,178.21984206764515,0.00017351990482967483,0.0,3.6277696837889473e-06,0.5900445526188263,2.3571278411706733e-06,2.4950363295917387e-11,0.17696647957921938,1.398721030133667e-10,0.13215435778966542,0.026666666666666665,130866.55959760725,2.4500750271634882e-08
flight,1,2,25,0.00025925090547736966,1.0819654296828747,0.13711509413255066,1.6862006849416793,86.02132781726962,0.0003606931247950753,0.0,0.00034793314876646386,0.31584857384903664,0.00034793314876646386,9.846015033023424e-07,0.79668956951846,0.00010358453363704604,0.019292219003928947,0.0,7.241079690887331,2.046980935415383e-16
flight,3,6,25,0.002278469816976269,0.7051968459689292,0.11974863950182159,2.333170563313711,40.97968046286743,0.005043193261824488,0.0,0.002518688916305065,0.12221782712627441,0.0019311284674270103,0.00028643209666801353,0.11549017650761524,0.0017290901028339752,0.050184077958436574,0.013333333333333332,32.657845221092394,2.8024871618603167e-13
hvac,1,3,25,2.3671630245995455e-05,0.004800084635298404,0.001960630860409845,8.537736462515939e-07,1.9090959104164224e-06,6.549590552391274e-05,0.0,1.3565758671094688e-05,0.0048809376750606846,1.3565758671094688e-05,1.7095588639159942e-08,6.216983109396395e-05,0.027568725512777552,8.748974046002272e-07,0.0,1.0000000025254252,5.245175561917308e-15
hvac,3,9,25,2.502739766833329e-05,0.004800088330084899,0.002017758351916568,3.075955805706284e-05,4.395898023019351e-05,0.00011404770023451866,0.0,0.0010323088143434566,0.03782214674996242,2.3495831147667842e-05,9.96968265266282e-05,0.0014760762529090051,0.07781612848635688,0.0017531991221856375,0.0,1.0221092883013188,6.738135239642497e-13
pendcart,1,1,25,0.0009140875562248583,0.14764437064812225,0.16844402287597793,,,0.0010705588175058231,0.0,0.0004215804969893655,0.06809420469651936,0.0004215804969893655,2.256635147506597e-06,0.058873490504390696,4.562434314581153e-05,0.027019777721341398,0.0,1.0,1.2737221556152616e-16
pendcart,3,3,25,0.0005957186146781063,0.03380890098628858,0.0006882205219048495,0.013488126131686286,1.2244644477900137,0.006000015912278018,0.0,0.5000762974714834,0.7695114857450867,0.0008036275495843312,0.06091448741016804,0.16309209217151366,1.0,0.06091448741016804,0.0,1.705632068644134,2.24385913593589e-16
uav,1,4,25,1.450044353628092e-07,1.3666214541293658,0.3946609310670076,0.2336014738591546,179.7024989940747,17657.86798687023,17657.865720166305,1.3780116258710494e-07,0.3598281459928252,1.3780116258710494e-07,2.2556281945980964e-10,12.449478657699741,3.9961461141320973e-10,0.18710972160015737,0.01,11140.278763586146,2.485213425904659e-06
uav,3,12,25,1.4569655259556613e-05,1.0781617929981935,0.16217313140715273,2.7606068710690623,178.4725568036786,21411.588438287577,21417.465390363323,0.0013910361421944066,0.3901863878301212,0.0009654791033402966,0.5438315449204545,1.304646711410344,0.007080783902604672,76.79343110073546,0.006666666666666666,22988726.10454935,0.1496433743830491
