system,k,stratum,role,plateau,budget_fe,variant,n,median_gap,q1,q3,conv_rate,incumbent_return,improvement_median,first_ctrl_err,time_ms,fe_exact
cstr,0,Benign,benign_reliable,False,1000,A_no_greedy,30,0.0,0.0,0.0,0.7666666666666667,0.0,1.0,0.0,11.91422899137251,True
cstr,0,Benign,benign_reliable,False,1000,B_no_bridge,30,0.030347505613236236,0.014973814968533452,0.05308879720823025,0.06666666666666667,0.0,0.9696524943867637,0.7838623535583987,12.963221000973135,True
cstr,0,Benign,benign_reliable,False,1000,C_fitness_group,30,0.0,0.0,0.0,0.9666666666666667,0.0,1.0,0.0,14.42269398830831,True
cstr,0,Benign,benign_reliable,False,1000,D_no_warm_slot,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.636963987257332,True
cstr,0,Benign,benign_reliable,False,1000,baseline,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.64481253363192,True
cstr,3,Severe,stratum_Severe,False,1000,A_no_greedy,30,0.0029994273054855416,0.0010588652683227013,0.007021370326450684,0.06666666666666667,0.0,0.9957885335154326,0.032713203999978645,12.102704000426456,True
cstr,3,Severe,stratum_Severe,False,1000,B_no_bridge,30,0.021038430323173454,0.010926256384502888,0.03215820300449066,0.0,0.0,0.9704601461645997,0.2991562044656879,13.069137989077717,True
cstr,3,Severe,stratum_Severe,False,1000,C_fitness_group,30,0.001252368160793833,8.381987601211172e-05,0.00331333883280013,0.3,0.0,0.9982415621389201,0.0213464365515513,15.243500034557655,True
cstr,3,Severe,stratum_Severe,False,1000,D_no_warm_slot,30,0.0001103777507675492,2.863220010168284e-05,0.00020374321852623982,0.4666666666666667,0.0,0.9998450196818742,0.005956164817155385,12.045614013914019,True
cstr,3,Severe,stratum_Severe,False,1000,baseline,30,0.0001232345633512764,2.8361544213831506e-05,0.00021878089180422735,0.4666666666666667,0.0,0.999826967557325,0.006272212317247949,12.016588501865044,True
cstr,11,High,recoverable_difficult,False,1000,A_no_greedy,30,0.016035666984962615,0.004367086755805938,0.016035666984962615,0.03333333333333333,0.6666666666666666,6.923460219436187e-15,0.005799279357355115,11.961611977312714,True
cstr,11,High,recoverable_difficult,False,1000,B_no_bridge,30,0.016035666984962615,0.016035666984962615,0.016035666984962615,0.0,0.9666666666666667,6.923460219436187e-15,0.005799279357355115,12.717867532046512,True
cstr,11,High,recoverable_difficult,False,1000,C_fitness_group,30,0.0025674435145123242,0.0005451336996854794,0.013177650097183385,0.1,0.16666666666666666,0.8398916916321649,0.002318077286546205,14.999105012975633,True
cstr,11,High,recoverable_difficult,False,1000,D_no_warm_slot,30,0.0002520855641753861,3.447351586802205e-05,0.0010563525439585275,0.36666666666666664,0.0,0.9842796957300387,0.0007254992025457693,11.705098993843421,True
cstr,11,High,recoverable_difficult,False,1000,baseline,30,7.363766022983054e-05,2.3344506362044104e-05,0.0002619695707640757,0.6,0.0,0.9954078829213101,0.0003929431101215991,11.8070809985511,True
cstr,15,High,recoverable_difficult,False,1000,A_no_greedy,30,0.002619373360301519,0.0009994019513109697,0.002619373360301519,0.0,0.6,4.768319482944836e-14,0.056654714836306755,11.913883499801159,True
cstr,15,High,recoverable_difficult,False,1000,B_no_bridge,30,0.002619373360301519,0.002619373360301519,0.002619373360301519,0.0,0.9333333333333333,4.768319482944836e-14,0.056654714836306755,12.763435515807942,True
cstr,15,High,recoverable_difficult,False,1000,C_fitness_group,30,0.002619373360301519,0.002619373360301519,0.002619373360301519,0.0,0.8,4.768319482944836e-14,0.056654714836306755,15.348120999988168,True
cstr,15,High,recoverable_difficult,False,1000,D_no_warm_slot,30,5.088196772410486e-05,2.812175219831653e-05,0.00012021239488932585,0.5666666666666667,0.0,0.9805747555903045,0.016086347113915836,11.832972464617342,True
cstr,15,High,recoverable_difficult,False,1000,baseline,30,4.356434554835323e-05,1.3718975821577425e-05,9.75382318672835e-05,0.7333333333333333,0.0,0.9833684093269788,0.01687764158450395,11.776522034779191,True
flight,6,High,plateau,True,1000,A_no_greedy,30,0.0016708368140544386,0.000365819448535815,0.007933579775106002,0.13333333333333333,0.13333333333333333,0.8826598114062867,0.27047173936048297,13.652534515131265,True
flight,6,High,plateau,True,1000,B_no_bridge,30,0.000721530354206618,0.00018046383528086337,0.0032082021175451106,0.13333333333333333,0.03333333333333333,0.9493280809193765,0.17387329093628592,15.612423478160053,True
flight,6,High,plateau,True,1000,C_fitness_group,30,0.0004997123311497131,0.0002571569467909639,0.0007989438266524866,0.13333333333333333,0.0,0.9649060047716899,0.1402477610823762,17.001089494442567,True
flight,6,High,plateau,True,1000,D_no_warm_slot,30,0.0005867855182333452,4.246810731896696e-05,0.0015705946228924475,0.36666666666666664,0.0,0.9587909945517175,0.11941977506286372,13.228058523964137,True
flight,6,High,plateau,True,1000,baseline,30,0.00019846540102048504,4.260176707691835e-05,0.0004955716601299133,0.3333333333333333,0.0,0.9860620933240272,0.06954144692851175,13.360371493035927,True
flight,6,High,plateau,True,5000,A_no_greedy,30,0.0005449836239677544,0.00023051934242746338,0.0009458824854022566,0.16666666666666666,0.0,0.9617266745148589,0.14148089821664472,67.04354350222275,True
flight,6,High,plateau,True,5000,B_no_bridge,30,0.00011423744547913466,2.3449919781868242e-05,0.0008103612837726459,0.5,0.0,0.9919772874979585,0.04509967868497792,74.26474848762155,True
flight,6,High,plateau,True,5000,C_fitness_group,30,1.4839885888530185e-05,7.192516460309429e-06,3.1206329232401926e-05,0.8666666666666667,0.0,0.9989578186246424,0.022550855774237266,88.11243451782502,True
flight,6,High,plateau,True,5000,D_no_warm_slot,30,0.0003289872563208204,2.709197221789136e-05,0.004003342600735399,0.3333333333333333,0.0,0.976895752848575,0.0801527885768551,68.21510448935442,True
flight,6,High,plateau,True,5000,baseline,30,0.00038067892559816416,1.7237400164208882e-05,0.0008413274812679513,0.3,0.0,0.9732655298545001,0.08742291113766541,66.08022551517934,True
flight,7,High,plateau,True,1000,A_no_greedy,30,0.0014484622181610124,0.0005835681145397899,0.005511684643963084,0.03333333333333333,0.06666666666666667,0.8715868247609596,0.14883988169407963,13.76192201860249,True
flight,7,High,plateau,True,1000,B_no_bridge,30,0.0018809885702122868,0.0005789680080726642,0.004197858284401033,0.13333333333333333,0.03333333333333333,0.8332412734962672,0.20602731509287703,14.831345004495233,True
flight,7,High,plateau,True,1000,C_fitness_group,30,0.00038642393032888966,0.0001586150255449867,0.0005630098665608167,0.1,0.0,0.9657416512079389,0.0851002985278464,17.57022601668723,True
flight,7,High,plateau,True,1000,D_no_warm_slot,30,0.0004535000743040454,6.572208445252053e-05,0.0023771782577163654,0.3,0.0,0.9597950269034565,0.0827547419494595,13.67784000467509,True
flight,7,High,plateau,True,1000,baseline,30,0.00018973303108614387,8.42927096044448e-05,0.0005422089130184967,0.4,0.0,0.9831792499217326,0.0500235743400861,13.494654500391334,True
