system,k,stratum,drift_warm_gap,alg,NP,budget_fe,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,realized_fe,fe_exact,time_ms
uav,497,High,0.0119944584145897,SGO,20,250,0,13000000,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.9428169946186244
uav,497,High,0.0119944584145897,SGO,20,250,1,13000001,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.7867750031873584
uav,497,High,0.0119944584145897,SGO,20,250,2,13000002,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.7199689648114145
uav,497,High,0.0119944584145897,SGO,20,250,3,13000003,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.6322589837945998
uav,497,High,0.0119944584145897,SGO,20,250,4,13000004,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.6849129935726523
uav,497,High,0.0119944584145897,SGO,20,250,5,13000005,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.6555280201137066
uav,497,High,0.0119944584145897,SGO,20,250,6,13000006,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.6192530058324337
uav,497,High,0.0119944584145897,SGO,20,250,7,13000007,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.68754200078547
uav,497,High,0.0119944584145897,SGO,20,250,8,13000008,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.8659349773079157
uav,497,High,0.0119944584145897,SGO,20,250,9,13000009,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.857629966456443
uav,497,High,0.0119944584145897,SGO,20,250,10,13000010,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.729350992012769
uav,497,High,0.0119944584145897,SGO,20,250,11,13000011,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.738384995609522
uav,497,High,0.0119944584145897,SGO,20,250,12,13000012,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.8507260140031576
uav,497,High,0.0119944584145897,SGO,20,250,13,13000013,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.756285946816206
uav,497,High,0.0119944584145897,SGO,20,250,14,13000014,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.864287991542369
uav,497,High,0.0119944584145897,SGO,20,250,15,13000015,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.716178016271442
uav,497,High,0.0119944584145897,SGO,20,250,16,13000016,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.579374995548278
uav,497,High,0.0119944584145897,SGO,20,250,17,13000017,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.8706470038741827
uav,497,High,0.0119944584145897,SGO,20,250,18,13000018,-5.9516986372351735,0.0,1.0,False,0.09062433164556478,250,True,2.8544680099003017
