system,Nc,dim,k,f_norm_k,f_norm_k1,f_scale,f_norm_median,df_abs,df_scaled,df_relative,f_near_zero,df_angle_deg,df_from_state,df_from_reference,dU_shift,dU_raw,dU_shift_norm,dU_raw_norm,shift_is_identity,J_star_k,J_star_k1,dJstar_norm,warm_gap_norm,cold_gap_norm,warm_over_cold,active_set_change,n_active_k,n_active_k1,lambda_min,lambda_max,cond_H,ref_spread_k1,subopt_bound_norm
pendcart,1,1,0,1.0419995312885475,1.162972457843138,1.1711775422555812,0.005369739349784464,0.12097292655459047,0.10329170615892073,0.11609691072028994,False,,0.12097292655459077,0.0,0.4763857016247437,0.4763857016247437,0.04763857016247437,0.04763857016247437,True,-2.1378418508270904,-2.6630504055410293,0.24567231411937496,0.010820255446203164,1.0,0.010820255446203164,0.0,0,0,0.253939042026306,0.253939042026306,1.0,1.509903313490213e-14,3.98123267106393e-18
pendcart,1,1,6,1.1711775422555812,1.052853907371319,1.1711775422555812,0.005369739349784464,0.11832363488426223,0.10102963096131581,0.10102963096131581,False,,0.11832363488426216,0.0,0.46595293748425437,0.46595293748425437,0.046595293748425436,0.046595293748425436,True,-2.7007600417381497,-2.1826130819069216,0.19185227559045198,0.012630098805638212,1.0,0.012630098805638212,0.0,0,0,0.253939042026306,0.253939042026306,1.0,9.325873406851315e-15,1.2737221556152616e-16
pendcart,1,1,12,0.19439824476787693,0.021480473624337026,1.1711775422555812,0.005369739349784464,0.1729177711435399,0.14764437064812225,0.8895027388236658,False,,0.1729177711435408,0.0,0.6809420469651937,0.6809420469651937,0.06809420469651936,0.06809420469651936,True,-0.07440895513206784,-0.0009085069067048783,0.07350044822536296,0.058873490504390696,0.0009085069067048783,64.80246883088948,0.0,0,0,0.253939042026306,0.253939042026306,1.0,3.469446951953614e-18,1.4532201685906347e-22
pendcart,1,1,18,0.5569684957090505,0.6009552861486714,1.1711775422555812,0.005369739349784464,0.04398679043962095,0.03755774752554288,0.07897536535459412,False,,0.043986790439621226,0.0,0.17321789419971712,0.17321789419971712,0.01732178941997171,0.01732178941997171,True,-0.6108038817840917,-0.7110904512127357,0.100286569428644,0.0038096492092029033,0.7110904512127357,0.00535747485106248,0.0,0,0,0.253939042026306,0.253939042026306,1.0,6.661338147750939e-16,3.3264284872840806e-20
pendcart,1,1,24,0.5127846536836447,0.4541728730114769,1.1711775422555812,0.005369739349784464,0.05861178067216777,0.050045171254980536,0.11430096484191488,False,,0.05861178067216702,0.0,0.23081045094641395,0.23081045094641395,0.023081045094641393,0.023081045094641393,True,-0.5177386252922387,-0.4061466817657187,0.11159194352651997,0.006764106461176922,0.4061466817657187,0.016654343774938737,0.0,0,0,0.253939042026306,0.253939042026306,1.0,2.220446049250313e-16,1.7986314706807975e-18
pendcart,1,1,30,0.13822464165107506,0.08841602404377902,1.1711775422555812,0.005369739349784464,0.049808617607296046,0.0425286652195953,0.36034542764834615,False,,0.04980861760729624,0.0,0.1961439910554434,0.1961439910554434,0.01961439910554434,0.01961439910554434,True,-0.037619366063428895,-0.01539226352381902,0.022227102539609876,0.004884830498727878,0.01539226352381902,0.3173562154239865,0.0,0,0,0.253939042026306,0.253939042026306,1.0,6.938893903907228e-18,1.4171684978999122e-20
pendcart,1,1,37,0.029948266709541538,0.02308803226233369,1.1711775422555812,0.005369739349784464,0.006860234447207847,0.005857552932577293,0.22906949887093705,False,,0.006860234447207995,0.0,0.027015278168468687,0.027015278168468687,0.002701527816846869,0.002701527816846869,True,-0.0017659723998110573,-0.0010495771534243658,0.0007163952463866915,9.26655535752397e-05,0.0010495771534243658,0.08828846290423502,0.0,0,0,0.253939042026306,0.253939042026306,1.0,3.2526065174565133e-18,2.391168110177737e-19
pendcart,1,1,43,0.05822807529773699,0.0752594112972581,1.1711775422555812,0.005369739349784464,0.017031335999521113,0.014542061630314658,0.2924935422033953,False,,0.017031335999521585,0.0,0.06706859678208432,0.06706859678208432,0.006706859678208432,0.006706859678208432,True,-0.006675831974918805,-0.011152241387567177,0.004476409412648372,0.0005711338432123833,0.011152241387567177,0.05121247140947818,0.0,0,0,0.253939042026306,0.253939042026306,1.0,5.204170427930421e-18,5.044854094932701e-19
pendcart,1,1,49,0.11957561890163992,0.11850506008413408,1.1711775422555812,0.005369739349784464,0.00107055881750584,0.0009140875562248583,0.008952985795427549,False,,0.0010705588175058231,0.0,0.004215804969893655,0.004215804969893655,0.0004215804969893655,0.0004215804969893655,True,-0.028153072724888515,-0.027651221240902066,0.0005018514839864492,2.256635147506597e-06,0.027651221240902066,8.161068648094831e-05,0.0,0,0,0.253939042026306,0.253939042026306,1.0,1.3877787807814457e-17,2.1299776420255718e-18
pendcart,1,1,55,0.07545383571786024,0.06274408808812071,1.1711775422555812,0.005369739349784464,0.012709747629739532,0.010852110095333382,0.16844402287597793,False,,0.012709747629739237,0.0,0.050050389038329285,0.050050389038329285,0.0050050389038329285,0.0050050389038329285,True,-0.011209936997297295,-0.0077515071306011075,0.0034584298666961878,0.0003180639667593483,0.0077515071306011075,0.04103253230635722,0.0,0,0,0.253939042026306,0.253939042026306,1.0,3.469446951953614e-18,2.34644909127584e-18
