system,tail,lambda_min,lambda_max,cond_H,convex
pendcart,zero,0.253939042026306,0.253939042026306,1.0,True
pendcart,hold_last,4.48054845969581,4.48054845969581,1.0,True
cstr,zero,0.11920134987966657,954.5075242631683,8007.522777441203,True
cstr,hold_last,2.0554210625095948,132929.0714559725,64672.42838003757,True
flight,zero,0.03596684187208898,0.26043876822533957,7.241079690887331,True
flight,hold_last,0.4621332592580494,22.428252417385604,48.5320023349844,True
hvac,zero,0.02015975703252567,0.02015975708343763,1.0000000025254252,True
hvac,hold_last,0.0429336302028529,0.042933634632222405,1.000000103167831,True
uav,zero,953.3798842949244,10620917.678640964,11140.278763586146,True
uav,hold_last,16459.263731371717,59898781.984646514,3639.2139382564314,True
