system,stratum,alg,start,n,instances,start_gap_median,final_gap_median,final_gap_iqr,conv_rate,trivial_start_rate,incumbent_return_rate,improvement_median,first_ctrl_err_median,time_ms_median,fe_exact
cstr,Benign,GWO,cold,520,26,1.326427441064624e-11,9.898039139765876e-16,2.034490730172309e-15,1.0,0.9615384615384616,0.0,0.9999257915990957,6.945265358935853e-08,14.231348497560248,True
cstr,Benign,GWO,optimizer_warm,520,26,1.326427441064624e-11,7.766542154360016e-16,1.630476982921803e-15,1.0,0.9230769230769231,0.0,0.9999459172815967,6.972452116754209e-08,14.185730498866178,True
cstr,Benign,GWO,reference_warm,520,26,7.788132850453366e-16,1.2533619350382084e-16,4.939092304557071e-16,1.0,0.9230769230769231,0.6923076923076923,0.9999995685165508,1.9696846474434838e-08,14.162367500830442,True
cstr,Benign,PSO,cold,520,26,1.326427441064624e-11,1.010359697582012e-11,1.032816211518483e-11,1.0,0.9615384615384616,0.475,0.01722173433226659,1.0867759842862285e-05,4.767538499436341,True
cstr,Benign,PSO,optimizer_warm,520,26,1.7060672218561517e-11,1.0667875487668894e-11,1.8619872163130085e-11,0.9980769230769231,0.9211538461538461,0.3326923076923077,0.37350490015284166,1.1551175728573345e-05,4.750802996568382,True
cstr,Benign,PSO,reference_warm,520,26,7.788132850453366e-16,2.6691453355264476e-16,1.416724829143437e-14,1.0,0.9230769230769231,0.8615384615384616,0.999988771608127,2.4326800679111983e-08,4.753604982397519,True
cstr,Benign,SGO,cold,520,26,1.326427441064624e-11,1.3245519456762957e-11,6.648734301472272e-13,1.0,0.9615384615384616,0.9230769230769231,0.0,1.4703093837607431e-05,12.675532489083707,True
cstr,Benign,SGO,optimizer_warm,520,26,3.2004344817129525e-08,1.2823505367292174e-08,3.040946810279046e-08,1.0,0.9230769230769231,0.5442307692307692,1.2803936799531945e-11,0.0002740572039849787,12.639886495890096,True
cstr,Benign,SGO,reference_warm,520,26,7.788132850453366e-16,3.603211877269053e-16,1.416724829143437e-14,0.9980769230769231,0.9230769230769231,0.9230769230769231,0.9997778063100765,2.710252755673408e-08,12.613124010385945,True
cstr,Benign,WOA,cold,520,26,1.326427441064624e-11,1.279788461605611e-11,2.093685064733155e-12,1.0,0.9615384615384616,0.028846153846153848,0.026620193934653473,1.4651703448698091e-05,8.401002487516962,True
cstr,Benign,WOA,optimizer_warm,520,26,1.3367970494394914e-11,1.2951766761612472e-11,7.426582166915178e-13,0.9673076923076923,0.9038461538461539,0.0,0.03783008252141798,1.4740612926290215e-05,8.40457399317529,True
cstr,Benign,WOA,reference_warm,520,26,7.788132850453366e-16,2.4844164447378348e-17,1.1333528094070019e-15,0.975,0.9230769230769231,0.6923076923076923,0.8169737278473164,1.9839998207450105e-08,8.40497600438539,True
cstr,High,GWO,cold,180,9,1.0,1.2718413726076476e-07,5.777368356714782e-07,1.0,0.0,0.0,0.9999998728158628,3.0432624303501632e-05,14.242418998037465,True
cstr,High,GWO,optimizer_warm,180,9,0.023725355834297027,9.824435076423615e-08,4.6594007397471083e-07,1.0,0.0,0.0,0.9999964604520419,2.565907126574757e-05,14.247267507016659,True
cstr,High,GWO,reference_warm,180,9,0.023770911507608912,8.451408430558315e-08,3.880480609851991e-07,1.0,0.0,0.0,0.9999966576526977,2.5348856748663023e-05,14.272285494371317,True
cstr,High,PSO,cold,180,9,1.0,1.504281939610867e-15,8.69641346905928e-14,0.9611111111111111,0.0,0.0,0.9999999999999984,4.279142699903371e-09,4.762344993650913,True
cstr,High,PSO,optimizer_warm,180,9,0.02377089867631727,9.93191866934726e-16,9.186220005063191e-14,0.9555555555555556,0.0,0.0,0.9999999999999787,3.1666334832092247e-09,4.790810489794239,True
cstr,High,PSO,reference_warm,180,9,0.023770911507608912,1.3853765616148348e-15,2.8346499446560012e-14,0.9055555555555556,0.0,0.0,0.9999999999999576,2.7873855203142117e-09,4.794445994775742,True
cstr,High,SGO,cold,180,9,1.0,8.649074003471979e-05,0.0006200738912254627,0.5166666666666667,0.0,0.0,0.9998501582912678,0.0010271195541722666,12.688211500062607,True
cstr,High,SGO,optimizer_warm,180,9,0.023111182338730787,5.274307920156495e-05,0.000211263915493151,0.65,0.0,0.005555555555555556,0.997271239025113,0.0007658434521474675,12.682401997153647,True
