system,alg,NP,mean_nrmse,std_nrmse,mean_nfe_per_step,mean_time_ms,maxIter_derived,n,selected
cstr,GWO,8,0.1966911644163113,1.2421734078311169e-05,1000.0,13.45887196880843,130,3,False
cstr,GWO,10,0.19669074296339217,7.715074135363648e-06,1000.0,13.241884390008636,105,3,False
cstr,GWO,14,0.19669152803104292,1.727804056582326e-06,1000.0,13.293232439706722,77,3,False
cstr,GWO,20,0.19668974922622828,2.2419880818153e-05,1000.0,13.67699228663696,55,3,True
cstr,GWO,30,0.19669961318883963,7.76737711805389e-06,1000.0,14.073709350001687,39,3,False
cstr,PSO,8,0.19523618610931145,2.014519822153968e-05,1000.0,4.524654557947845,130,3,True
cstr,PSO,10,0.19620190514872507,0.000846339774491007,1000.0,4.081903127856397,105,3,False
cstr,PSO,14,0.19620191919402716,0.0008463683632048098,1000.0,3.806083966725661,77,3,False
cstr,PSO,20,0.1966910428128756,3.911577540400811e-07,1000.0,3.6750301474239677,55,3,False
cstr,PSO,30,0.1966900382444884,2.163354290914791e-06,1000.0,3.4963943159285313,39,3,False
cstr,SGO,8,0.1985077807945399,0.003124749436439298,1000.0,13.056311753268043,255,3,False
cstr,SGO,10,0.19731220821188233,0.0008597944959236108,1000.0,12.623850383194318,205,3,False
cstr,SGO,14,0.1983691898667472,0.0025948946111249115,1000.0,12.38196585686334,148,3,False
cstr,SGO,20,0.1980559777344875,0.0023429547022106164,1000.0,12.091388160479255,105,3,False
cstr,SGO,30,0.1967192847813054,8.772945667828523e-05,1000.0,11.912327950024823,72,3,True
cstr,WOA,8,0.19667577221921548,1.5507092014684984e-05,1000.0,7.667569543118589,130,3,False
cstr,WOA,10,0.19666259431616973,5.067244242714114e-06,1000.0,7.583935685785643,105,3,True
cstr,WOA,14,0.19667982554335225,1.050609778649159e-05,1000.0,7.536120861477684,77,3,False
cstr,WOA,20,0.19667060184830665,1.928736373010675e-05,1000.0,7.4394556566646015,55,3,False
cstr,WOA,30,0.19668306527814985,1.331462888667238e-05,1000.0,7.546711496931191,39,3,False
flight,GWO,8,0.021358663204770423,2.458780548808389e-06,1000.0,13.20101728384745,130,3,False
flight,GWO,10,0.02135918338209103,3.2490211507072653e-06,1000.0,13.244417018270019,105,3,False
flight,GWO,14,0.0213556785160539,9.48845196368787e-06,1000.0,13.389730401363018,77,3,False
flight,GWO,20,0.021360483301545375,2.5629844121094822e-05,1000.0,13.381942829518167,55,3,False
flight,GWO,30,0.021350245030250004,1.5891971752819526e-05,1000.0,13.107689389208746,39,3,True
flight,PSO,8,0.021424436968751123,0.00011613469478240034,1000.0,4.350069948769589,130,3,False
flight,PSO,10,0.021357280434864165,1.545988939970835e-07,1000.0,4.195563588356081,105,3,False
flight,PSO,14,0.02135703474628838,1.498511732033756e-06,1000.0,3.9023826810686537,77,3,False
flight,PSO,20,0.021425125281405905,0.0001124044140234086,1000.0,3.671712145830194,55,3,False
