system,k,role,stratum,drift_warm_gap,plateau,variant,budget_fe,trial,seed,NP,J_star,J_start,J,norm_gap,converged_1e4,first_control_error,returned_incumbent,improvement_fraction,realized_fe,fe_exact,time_ms
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,0,14000000,8,-1.3705061496284003,-1.35099116370473,-1.3691295952661287,0.0010044131233157374,False,0.12319971797956344,False,0.9294616779301889,1000,True,24.702198978047818
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,1,14000001,8,-1.3705061496284003,-1.35099116370473,-1.3653647470200967,0.003751462632763588,False,0.2159455688880892,False,0.7365407985220481,1000,True,13.391601969487965
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,2,14000002,8,-1.3705061496284003,-1.35099116370473,-1.370057550169455,0.00032732392997069667,False,0.08405881741911447,False,0.9770125655893374,1000,True,13.53127701440826
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,3,14000003,8,-1.3705061496284003,-1.35099116370473,-1.3700407665285415,0.000339570238327693,False,0.09015148788120031,False,0.9761525270026248,1000,True,12.779595039319247
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,4,14000004,8,-1.3705061496284003,-1.35099116370473,-1.3700394129979199,0.0003405578520074645,False,0.06068157100358734,False,0.9760831684785204,1000,True,12.844573007896543
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,5,14000005,8,-1.3705061496284003,-1.35099116370473,-1.365003381382898,0.004015135756227337,False,0.3015181419178113,False,0.7180234581246623,1000,True,13.521516986656934
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,6,14000006,8,-1.3705061496284003,-1.35099116370473,-1.3703758767445118,9.50545781380715e-05,True,0.04286584157221212,False,0.9933244694924146,1000,True,12.924565991852432
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,7,14000007,8,-1.3705061496284003,-1.35099116370473,-1.3705054896548883,4.815545791178328e-07,True,0.005207810790240745,False,0.9999661811945628,1000,True,13.421176001429558
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,8,14000008,8,-1.3705061496284003,-1.35099116370473,-1.370296933067969,0.00015265641857061064,False,0.07606017593529187,False,0.9892791846609787,1000,True,13.156280969269574
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,9,14000009,8,-1.3705061496284003,-1.35099116370473,-1.3704768817482103,2.1355526349168645e-05,True,0.03797698540754949,False,0.9985002356494356,1000,True,13.04707198869437
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,10,14000010,8,-1.3705061496284003,-1.35099116370473,-1.3704804299170044,1.876657861254467e-05,True,0.03136746935688956,False,0.9986820532950126,1000,True,13.783778005745262
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,11,14000011,8,-1.3705061496284003,-1.35099116370473,-1.3689013284260518,0.0011709697200436768,False,0.18164352671593947,False,0.9177646753820113,1000,True,13.104390003718436
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,12,14000012,8,-1.3705061496284003,-1.35099116370473,-1.370000855631328,0.0003686915211649711,False,0.11260263758270175,False,0.9741073860340551,1000,True,13.221564993727952
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,13,14000013,8,-1.3705061496284003,-1.35099116370473,-1.369855218229772,0.00047495693383408505,False,0.09201459467438508,False,0.9666445366051364,1000,True,13.186945987399668
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,14,14000014,8,-1.3705061496284003,-1.35099116370473,-1.370471725944678,2.5117496723200634e-05,True,0.0430478210938477,False,0.9982360385061481,1000,True,12.874712992925197
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,15,14000015,8,-1.3705061496284003,-1.35099116370473,-1.3703263026257524,0.00013122670240969876,False,0.05643467005630584,False,0.9907841592429844,1000,True,13.452204992063344
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,16,14000016,8,-1.3705061496284003,-1.35099116370473,-1.3705007121558368,3.967492276495949e-06,True,0.009948192934187307,False,0.9997213693832623,1000,True,12.891588965430856
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,17,14000017,8,-1.3705061496284003,-1.35099116370473,-1.370235582793287,0.0001974211025515249,False,0.07683013097445177,False,0.9861354327299255,1000,True,13.125690049491823
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,18,14000018,8,-1.3705061496284003,-1.35099116370473,-1.3703745269154715,9.603949093155747e-05,True,0.059388205556855686,False,0.9932553006472205,1000,True,13.162856979761273
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,19,14000019,8,-1.3705061496284003,-1.35099116370473,-1.3698175480842236,0.000502443235561856,False,0.10748457226231099,False,0.9647142177365606,1000,True,13.365493970923126
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,20,14000020,8,-1.3705061496284003,-1.35099116370473,-1.3703071301375416,0.000145216050955136,False,0.04241580781465355,False,0.9898017097405452,1000,True,13.089618005324155
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,21,14000021,8,-1.3705061496284003,-1.35099116370473,-1.3703305656640676,0.00012811614481285754,False,0.04723713555183742,False,0.9910026087121214,1000,True,13.877679011784494
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,22,14000022,8,-1.3705061496284003,-1.35099116370473,-1.3695179100682269,0.0007210763413512714,False,0.13738355823173815,False,0.9493599655137439,1000,True,13.25796899618581
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,23,14000023,8,-1.3705061496284003,-1.35099116370473,-1.3702327203583395,0.00019950969948944518,False,0.06897296097798834,False,0.9859887539181287,1000,True,13.382756034843624
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,24,14000024,8,-1.3705061496284003,-1.35099116370473,-1.3705005531183225,4.083535181018607e-06,True,0.015537926523647582,False,0.9997132198762685,1000,True,13.355249015148729
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,25,14000025,8,-1.3705061496284003,-1.35099116370473,-1.370489341707502,1.2264024428476994e-05,True,0.016026392628019553,False,0.9991387172420128,1000,True,13.422888005152345
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,26,14000026,8,-1.3705061496284003,-1.35099116370473,-1.3676393602710581,0.002091774165420195,False,0.20348792952887512,False,0.8530980566137647,1000,True,13.696366979274899
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,27,14000027,8,-1.3705061496284003,-1.35099116370473,-1.3704744520961154,2.3128340061465637e-05,True,0.023137717620400858,False,0.9983757337869003,1000,True,13.712923973798752
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,28,14000028,8,-1.3705061496284003,-1.35099116370473,-1.3701769571053135,0.00024019777158686023,False,0.07010993287903516,False,0.9831312958987307,1000,True,13.770775985904038
flight,6,plateau,High,0.0112797009766693,True,baseline,1000,29,14000029,8,-1.3705061496284003,-1.35099116370473,-1.369662276390462,0.000615738381157311,False,0.11285926887251838,False,0.95675768144343,1000,True,13.885791006032377
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,0,14001000,8,-1.3705061496284003,-1.35099116370473,-1.366225411613894,0.0031234723139818943,False,0.34117049372496483,False,0.7806435509997471,1000,True,13.376843999139965
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,1,14001001,8,-1.3705061496284003,-1.35099116370473,-1.3704634886283777,3.112791579531369e-05,True,0.04703578777492012,False,0.9978139364184297,1000,True,13.324831961654127
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,2,14001002,8,-1.3705061496284003,-1.35099116370473,-1.3695679800095832,0.0006845424364359643,False,0.15612867936923477,False,0.951925683037303,1000,True,13.64319899585098
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,3,14001003,8,-1.3705061496284003,-1.35099116370473,-1.3687516385316658,0.001280192064231337,False,0.18640258543503108,False,0.9100941653969411,1000,True,13.677763985469937
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,4,14001004,8,-1.3705061496284003,-1.35099116370473,-1.35099116370473,0.014239254547644017,False,0.9687239125405813,True,0.0,1000,True,16.744926979299635
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,5,14001005,8,-1.3705061496284003,-1.35099116370473,-1.3691121922250344,0.001017111381619014,False,0.27787605215555056,False,0.9285698996239026,1000,True,15.64266998320818
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,6,14001006,8,-1.3705061496284003,-1.35099116370473,-1.370411784907029,6.885392042709992e-05,True,0.0362576197146935,False,0.9951644996445062,1000,True,13.66187003441155
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,7,14001007,8,-1.3705061496284003,-1.35099116370473,-1.3689413530123185,0.0011417654831437033,False,0.29489530707349365,False,0.9198156420813043,1000,True,15.497262997087091
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,8,14001008,8,-1.3705061496284003,-1.35099116370473,-1.3684738880330594,0.001482854780251812,False,0.20087746132677042,False,0.89586148802311,1000,True,14.499892015010118
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,9,14001009,8,-1.3705061496284003,-1.35099116370473,-1.3703498315915792,0.00011405861758703528,False,0.08630857415258748,False,0.9919898462938913,1000,True,15.021188009995967
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,10,14001010,8,-1.3705061496284003,-1.35099116370473,-1.3701503957628434,0.00025957845256909857,False,0.052546820181086654,False,0.9817702217696468,1000,True,14.89128899993375
flight,6,plateau,High,0.0112797009766693,True,A_no_greedy,1000,11,14001011,8,-1.3705061496284003,-1.35099116370473,-1.3615601023456503,0.006527549902038523,False,0.26306742656541543,False,0.5415806438323311,1000,True,14.89581196801737
