system,tail,alg,n,nrmse_mean,nrmse_std,reference_nrmse,mean_gap,median_gap,mean_first_input_error,fe_exact,time_ms,rank_nrmse,rank_gap
flight,hold_last,GWO,10,0.020425457352720323,4.405736721754853e-05,0.020441952497158578,2.1318176881969105e-05,1.4343531059143933e-06,0.009901496347488327,True,17.389034922467545,2,2
flight,hold_last,PSO,10,0.02041701166288169,4.5376510807867705e-05,0.020441952497158578,0.00019656800172681362,6.83325002114337e-05,0.034738746986162014,True,4.602163029446578,1,3
flight,hold_last,SGO,10,0.020618904482207087,0.00033903236193921906,0.020441952497158578,0.001116898010653435,2.814075747751574e-05,0.04031604222681521,True,18.61921221599914,4,4
flight,hold_last,WOA,10,0.020435877596757853,6.795699437616218e-06,0.020441952497158578,1.3153296328782824e-05,3.58744401146802e-07,0.006436603537988495,True,10.316498161953252,3,1
flight,zero,GWO,10,0.018198902128102733,1.2884701341261326e-05,0.01819565344848985,3.1680017910096285e-06,3.625712004781868e-09,0.003946542436395405,True,17.706090195686556,4,1
flight,zero,PSO,10,0.018196003221104113,8.558150312695542e-06,0.01819565344848985,1.9919670574267965e-05,9.115508198341106e-06,0.019501409727078783,True,4.785992676935469,3,3
flight,zero,SGO,10,0.01814776111066912,7.722518175689281e-05,0.01819565344848985,0.000780676418878161,1.746428644616707e-08,0.02430485628950646,True,18.723014062425744,1,4
flight,zero,WOA,10,0.018194040665044764,7.1882505360066445e-06,0.01819565344848985,6.8674789712825e-06,2.9684976222352538e-09,0.0037403193891125514,True,10.462932479684241,2,2
uav,hold_last,GWO,10,0.0012113663837806745,2.172921838946244e-06,0.0012114650953275877,0.00017207299135855184,8.989449508812596e-08,0.0001879494955744908,True,25.20579962868942,1,1
uav,hold_last,PSO,10,0.0012124860123593508,4.747454938364667e-06,0.0012114650953275877,0.02822707944696091,0.010205992563518493,0.000957135400243805,True,5.067374191747513,2,3
uav,hold_last,SGO,10,0.0012727533963117711,3.693818438044866e-05,0.0012114650953275877,0.012341512601141764,0.005650091090264457,0.001642635713120237,True,15.178300504828803,3,2
uav,hold_last,WOA,10,0.0020080057555411914,0.0003396949826247555,0.0012114650953275877,0.3164780687185322,0.1504459425478519,0.02371049035634979,True,9.227724380546714,4,4
uav,zero,GWO,10,0.000869442319175464,1.3460140211942584e-06,0.0008692984220871418,6.087095892250713e-05,1.2338800399367872e-17,0.00014342905161873005,True,25.249697285844015,1,1
uav,zero,PSO,10,0.0025857211775713236,0.001733302809909537,0.0008692984220871418,0.5237627852416805,0.006625690759865869,0.040760093292971256,True,5.107970603101421,4,4
uav,zero,SGO,10,0.0009524737538094437,4.910191074325862e-05,0.0008692984220871418,0.004878768729885077,0.00041888147948459283,0.004881948404077475,True,15.377487615682185,2,2
uav,zero,WOA,10,0.0013104493538394016,0.00022510145795524814,0.0008692984220871418,0.0590278724049203,1.4249464212373259e-08,0.022843201347416048,True,9.186345478578005,3,3
