system,transitions,Nsim,dim,benign_fraction,warm_gap_median,warm_gap_p90,warm_gap_p99,warm_gap_max,cold_gap_median,warm_over_cold_median,df_over_max_median,df_over_max_max,angle_median,state_contrib_median,ref_contrib_median,ref_contrib_max,reference_constant,dU_shift_median,dU_shift_max,active_change_mean,cond_H,crosscheck_max_rel
cstr,100,100,2,0.85,1.1073145097805454e-15,0.010606987862369629,0.8846333683288703,17.955046114859805,1.3283913637966568e-11,8.322941091916909e-05,2.3839222195627817e-10,0.2910460115586453,0.0003335077251519418,9.042396226527838e-07,0.0,0.0,True,3.1906530070156984e-08,0.8188958597708488,0.01,8007.522777441203,6.99613078530021e-14
flight,150,150,2,0.7133333333333334,1.7121138972851613e-06,0.004940560379868106,0.030300439879312392,0.7966895237734489,0.00010067308632545124,0.017398056765357318,0.00035601529220354966,1.0819653890665164,1.514711134380907,0.0004953204232142666,0.0,0.0,True,0.00934784741266287,6.316971216578967,0.0033333333333333335,7.241079690887331,1.2092511756074425e-16
hvac,1500,1500,3,1.0,3.09855551772209e-08,5.847561646622498e-05,6.270203621531433e-05,6.29640399801025e-05,0.027515032082518875,1.4520868928411803e-06,2.3581658042201082e-05,0.004800084635298404,4.2688682312579694e-07,6.524696572136456e-05,0.0,0.0,True,0.0017532712353088037,0.6513842455467186,0.0006666666666666666,1.0000000025254252,3.1108450615469935e-14
pendcart,150,150,1,0.6533333333333333,4.606387524063731e-06,0.008163725625981878,0.06425394073315872,0.06685649019130474,0.0001321864458091284,0.047408540655447515,0.0012271314349705834,0.14245258115001264,,0.0015873484842245894,0.0,0.0,True,0.00602208126184833,0.725641389204049,0.013333333333333334,1.0,2.0772781189509086e-16
uav,500,500,4,0.878,5.5205710936530414e-11,0.0011361005118164787,0.49394207727600387,12.449478195019827,4.15556893243419e-10,0.09171417523260192,1.772271374108795e-07,1.366621453868153,0.06352109401207547,17657.86513007601,17657.865720166305,17657.865720166636,False,1.0177368812187804e-07,0.7196564506088895,0.0005,11140.278763586146,2.2527732326663356e-10
