system,instants,J_rel_diff_median,J_rel_diff_max,U_norm_diff_median,first_ctrl_diff_median,first_ctrl_diff_max,first_ctrl_rel_range_median,first_ctrl_rel_range_max,lbfgsb_rel_zero_max,lbfgsb_rel_hold_max,worst_cart_hold
cstr,25,6.158650911289596e-62,3.4197632349785785,1.2168625865830215e-30,1.2168625865830215e-30,0.7916606084322377,6.084312932915107e-31,0.39583030421611887,7.538479389335162e-14,3.9176993246736735e-11,
flight,25,0.00039452946813740874,2.532497154330323,0.02260005894656939,0.02260005894656939,5.782073196558765,0.0011300029473284695,0.2891036598279383,1.2092511756074425e-16,6.539907504432563e-15,
hvac,25,1.3999602884682953,50.759843300170395,5.454971592846733,5.454971592846733,60.3533469180796,0.056822620758820136,0.6286806970633292,1.2866763444380281e-14,2.5179898778977657e-14,
pendcart,25,568.8283623316382,569.4576043719029,5.000143641733475,5.000143641733475,7.193315755874833,0.5000143641733474,0.7193315755874833,2.220446049250313e-16,2.1219138585835077e-16,3.778836392572153
uav,25,0.0001574246940299991,0.6851845199366803,8.147343721957386e-05,8.147343721957386e-05,0.7068261852122781,4.073671860978693e-05,0.35341309260613907,1.7452620903662005e-10,1.3023862796058584e-09,
