system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
hvac,nominal,SGO,0,16000000,0.04006413881327,0.04009219076759363,1000.0,True,11.791224519256502
hvac,nominal,SGO,1,16000001,0.04007290003549619,0.04009219076759363,1000.0,True,11.738489573617699
hvac,nominal,SGO,2,16000002,0.04007950561382689,0.04009219076759363,1000.0,True,11.68279210352921
hvac,nominal,SGO,3,16000003,0.04006676091053079,0.04009219076759363,1000.0,True,11.601991985517088
hvac,nominal,SGO,4,16000004,0.04007094776278177,0.04009219076759363,1000.0,True,11.477504545619013
hvac,nominal,SGO,5,16000005,0.040066144103574605,0.04009219076759363,1000.0,True,11.661360754078487
hvac,nominal,SGO,6,16000006,0.04006043616919286,0.04009219076759363,1000.0,True,11.732461240317207
hvac,nominal,SGO,7,16000007,0.04006146201125765,0.04009219076759363,1000.0,True,11.644257943844423
hvac,nominal,SGO,8,16000008,0.040075281311014586,0.04009219076759363,1000.0,True,11.738916545000393
hvac,nominal,SGO,9,16000009,0.04006932042292689,0.04009219076759363,1000.0,True,11.68729196084314
hvac,nominal,GWO,0,16001000,0.04007522917457685,0.04009219076759363,1000.0,True,17.224333145277342
hvac,nominal,GWO,1,16001001,0.040077603294546855,0.04009219076759363,1000.0,True,17.13901536902995
hvac,nominal,GWO,2,16001002,0.040083127872668434,0.04009219076759363,1000.0,True,17.16864450732828
hvac,nominal,GWO,3,16001003,0.04007841202443461,0.04009219076759363,1000.0,True,17.145996537292376
hvac,nominal,GWO,4,16001004,0.04008075757865386,0.04009219076759363,1000.0,True,16.98901177252992
hvac,nominal,GWO,5,16001005,0.04007851982761489,0.04009219076759363,1000.0,True,16.81892555585364
hvac,nominal,GWO,6,16001006,0.04007935587238301,0.04009219076759363,1000.0,True,16.962787821539678
hvac,nominal,GWO,7,16001007,0.04007553911839417,0.04009219076759363,1000.0,True,16.977575400815113
hvac,nominal,GWO,8,16001008,0.04007674631517697,0.04009219076759363,1000.0,True,16.818127743172226
hvac,nominal,GWO,9,16001009,0.040078920206661095,0.04009219076759363,1000.0,True,17.034332892508246
hvac,nominal,PSO,0,16002000,0.04005980631407489,0.04009219076759363,1000.0,True,4.428180676768534
hvac,nominal,PSO,1,16002001,0.04008303615405078,0.04009219076759363,1000.0,True,4.451584245980484
hvac,nominal,PSO,2,16002002,0.04006497083593247,0.04009219076759363,1000.0,True,4.441346291132504
hvac,nominal,PSO,3,16002003,0.04008370109862384,0.04009219076759363,1000.0,True,4.432853780017467
hvac,nominal,PSO,4,16002004,0.040082103616670466,0.04009219076759363,1000.0,True,4.402174385759281
hvac,nominal,PSO,5,16002005,0.04007595477637708,0.04009219076759363,1000.0,True,4.4136560180049855
hvac,nominal,PSO,6,16002006,0.04004740850146467,0.04009219076759363,1000.0,True,4.411515918181976
hvac,nominal,PSO,7,16002007,0.040074251838462936,0.04009219076759363,1000.0,True,4.4584155424672645
hvac,nominal,PSO,8,16002008,0.0400714189442887,0.04009219076759363,1000.0,True,4.429762525687693
hvac,nominal,PSO,9,16002009,0.040069700176776045,0.04009219076759363,1000.0,True,4.418382135190768
hvac,nominal,WOA,0,16003000,0.04009232309856211,0.04009219076759363,1000.0,True,7.420192530262284
hvac,nominal,WOA,1,16003001,0.040092101074933835,0.04009219076759363,1000.0,True,7.410506921441993
hvac,nominal,WOA,2,16003002,0.040092242661379736,0.04009219076759363,1000.0,True,7.393584514647955
hvac,nominal,WOA,3,16003003,0.04009206133126638,0.04009219076759363,1000.0,True,7.411764026328456
hvac,nominal,WOA,4,16003004,0.04009221571388615,0.04009219076759363,1000.0,True,7.45668758143438
hvac,nominal,WOA,5,16003005,0.04009219147260063,0.04009219076759363,1000.0,True,7.419251251267269
hvac,nominal,WOA,6,16003006,0.040092162476996575,0.04009219076759363,1000.0,True,7.49449006296345
hvac,nominal,WOA,7,16003007,0.04009213620759691,0.04009219076759363,1000.0,True,7.442280575050972
hvac,nominal,WOA,8,16003008,0.040092118391222044,0.04009219076759363,1000.0,True,7.536365770210978
hvac,nominal,WOA,9,16003009,0.04009224727538418,0.04009219076759363,1000.0,True,7.779489666718291
hvac,process_disturbance,SGO,0,16010000,0.036067724421861194,0.03636963376125622,1000.0,True,11.662328141828766
hvac,process_disturbance,SGO,1,16010001,0.0433745513803006,0.03636963376125622,1000.0,True,11.683694935200037
hvac,process_disturbance,SGO,2,16010002,0.04910804471906833,0.03636963376125622,1000.0,True,11.995323173177894
hvac,process_disturbance,SGO,3,16010003,0.04369720949322569,0.03636963376125622,1000.0,True,11.92863175572711
hvac,process_disturbance,SGO,4,16010004,0.054868699645682216,0.03636963376125622,1000.0,True,11.875359981931979
hvac,process_disturbance,SGO,5,16010005,0.05201295824154873,0.03636963376125622,1000.0,True,11.57750411744928
hvac,process_disturbance,SGO,6,16010006,0.04715072621639408,0.03636963376125622,1000.0,True,11.837980599084403
