system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
pendcart,1,1,initial_transient,4,WOA,8,13,15103013,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.65680600795895
pendcart,1,1,initial_transient,4,WOA,8,14,15103014,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.930385041050613
pendcart,1,1,initial_transient,4,WOA,8,15,15103015,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.72972600441426
pendcart,1,1,initial_transient,4,WOA,8,16,15103016,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.12766197975725
pendcart,1,1,initial_transient,4,WOA,8,17,15103017,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.83385799638927
pendcart,1,1,initial_transient,4,WOA,8,18,15103018,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.05791598884389
pendcart,1,1,initial_transient,4,WOA,8,19,15103019,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.667308987583965
pendcart,1,1,mid_trajectory,75,SGO,20,0,15100000,-3.1597047172248606e-05,-3.159704710520513e-05,6.704347770307081e-14,True,7.266554640228406e-07,0.253939042026306,0.253939042026306,1.0,0,1000,True,39.88095896784216
pendcart,1,1,mid_trajectory,75,SGO,20,1,15100001,-3.1597047172248606e-05,-3.1596965657926255e-05,8.151432235095884e-11,True,2.5337701800732387e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,41.020062984898686
pendcart,1,1,mid_trajectory,75,SGO,20,2,15100002,-3.1597047172248606e-05,-3.15939398667381e-05,3.107305510505643e-09,True,0.00015643799350364973,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.37219099700451
pendcart,1,1,mid_trajectory,75,SGO,20,3,15100003,-3.1597047172248606e-05,-3.1597043274206724e-05,3.898041882766795e-12,True,5.540813207749462e-06,0.253939042026306,0.253939042026306,1.0,0,1000,True,41.15440102759749
pendcart,1,1,mid_trajectory,75,SGO,20,4,15100004,-3.1597047172248606e-05,-3.159662178658045e-05,4.253856681574815e-10,True,5.7881754419928516e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.45730904908851
pendcart,1,1,mid_trajectory,75,SGO,20,5,15100005,-3.1597047172248606e-05,-3.1597028805718874e-05,1.8366529732629852e-11,True,1.2027180045909996e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.52519198739901
pendcart,1,1,mid_trajectory,75,SGO,20,6,15100006,-3.1597047172248606e-05,-3.15969379348116e-05,1.0923743700775364e-10,True,2.933161732501799e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.95249797683209
pendcart,1,1,mid_trajectory,75,SGO,20,7,15100007,-3.1597047172248606e-05,-3.159692802487787e-05,1.1914737073478662e-10,True,3.0633208783686916e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.58814496966079
pendcart,1,1,mid_trajectory,75,SGO,20,8,15100008,-3.1597047172248606e-05,-3.159694990829209e-05,9.726395651886953e-11,True,2.7677459588568848e-05,0.253939042026306,0.253939042026306,1.0,0,1000,True,40.069299982860684
