alg,n_cells,rho_dim_vs_gap,p_dim_vs_gap,rho_cond_vs_gap,p_cond_vs_gap,rho_dim_vs_conv,p_dim_vs_conv,mean_within_system_rho_dim_vs_gap,n_systems_within
GWO,22,0.6069262713001321,0.0027434669780959154,-0.1518915866741954,0.4998153235435795,-0.8493897360790875,5.732995527540114e-07,0.9999999999999999,4
PSO,22,0.4390289102675721,0.04093833114901903,-0.25127046866177305,0.25932693147246744,-0.8239167330057289,2.445812264674748e-06,0.4999999999999999,4
SGO,22,0.6211067916576117,0.002035646752690153,-0.24562394127611523,0.27054137518067206,-0.6855386251039334,0.000429444080496425,0.9999999999999999,4
WOA,22,0.4027267781524241,0.0631292397298775,-0.04912478825522304,0.8281332040215276,-0.6311454332519238,0.0016337443659492675,0.4749999999999999,4
