system,instances,all_psd,min_lambda_min,max_cond_H,all_convex,worst_midpoint,worst_second_diff,worst_grad_fd_rel,worst_grad_fd_in_penalty,max_predicted_cart,penalty_ever_active,worst_model_fidelity,max_kkt_abs,max_kkt_rel,max_subopt_bound_norm,max_ref_spread,max_osqp_rel_diff,worst_osqp_minus_ref
cstr,35,True,0.02135629115282952,130866.55959760725,True,0.0,0.0002683981932473509,2.369178661155387e-08,,,False,0.0,1.9569967949402937e-05,1.9569584973252226e-05,2.50995035505254e-08,7.276718921762304e-10,7.589063307109086e-13,-7.589063307109086e-13
flight,35,True,0.02002775445071596,32.657845221092394,True,0.0,0.00029415967160381206,3.4518768698273366e-09,,,False,0.0,1.5625126836837921e-07,1.5405684545476194e-07,7.8095731310677e-14,3.2294167340296553e-11,1.9306495777174674e-14,-2.5579538487363607e-13
hvac,35,True,0.02000265849588253,1.0221092883013188,True,0.0,4.9495452866575233e-05,1.2649326489033719e-08,,,False,0.0,1.5563939070872834e-07,1.5563936648511217e-07,3.7049706829490624e-14,7.932499102025758e-11,3.67357657638541e-14,-8.242295734817162e-13
pendcart,35,True,0.2003501482014924,1.705632068644134,True,0.0,0.003063711859183645,3.161395464856831e-09,,3.0400412779575903,False,,3.603162311002894e-08,9.792052122266674e-09,1.9721953159163454e-16,1.5987211554602254e-12,,
uav,35,True,0.7176458188604807,22988726.10454935,True,0.0,0.0015522677608785906,0.0002099200097849807,,,False,0.0,0.12423289776870661,0.06822173308993489,0.004329784041430186,27.08495974435562,8.371309850856851e-07,-8.371309850856851e-07
