check,system,alg,trial,submitted,phase2,abs_diff,rel_diff,material,step,nfe_submitted,nfe_phase2
closed_loop_nrmse,pendcart,SGO,0.0,0.2150934729186699,0.2150934729186699,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,SGO,1.0,0.2150369454381611,0.21503694543816118,8.326672684688674e-17,3.872205619235418e-16,False,,,
closed_loop_nrmse,pendcart,SGO,2.0,0.2150649538059217,0.2150649538059217,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,SGO,3.0,0.2149732316808584,0.21497323168085847,5.551115123125783e-17,2.582235508915254e-16,False,,,
closed_loop_nrmse,pendcart,SGO,4.0,0.2150516682613111,0.2150516682613111,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,SGO,5.0,0.2150157575390222,0.21501575753902225,5.551115123125783e-17,2.5817247938762524e-16,False,,,
closed_loop_nrmse,pendcart,SGO,6.0,0.2149302188986879,0.21493021889868796,5.551115123125783e-17,2.582752277260008e-16,False,,,
closed_loop_nrmse,pendcart,SGO,7.0,0.21505063176961,0.21505063176961,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,SGO,8.0,0.2150447978204979,0.21504479782049798,8.326672684688674e-17,3.8720642252592925e-16,False,,,
closed_loop_nrmse,pendcart,SGO,9.0,0.2150095083595131,0.21500950835951319,8.326672684688674e-17,3.872699746266947e-16,False,,,
closed_loop_nrmse,pendcart,GWO,0.0,0.2150274778056969,0.21502747780569692,2.7755575615628914e-17,1.2907920373185703e-16,False,,,
closed_loop_nrmse,pendcart,GWO,1.0,0.2150237794222641,0.2150237794222641,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,GWO,2.0,0.2150197409710169,0.2150197409710169,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,GWO,3.0,0.2150373631420121,0.21503736314201216,5.551115123125783e-17,2.5814653983920875e-16,False,,,
closed_loop_nrmse,pendcart,GWO,4.0,0.2150257244563009,0.21502572445630097,8.326672684688674e-17,3.8724076878442896e-16,False,,,
closed_loop_nrmse,pendcart,GWO,5.0,0.2150083630742807,0.21500836307428078,8.326672684688674e-17,3.8727203749800143e-16,False,,,
closed_loop_nrmse,pendcart,GWO,6.0,0.2150364509538181,0.21503645095381818,8.326672684688674e-17,3.87221452351673e-16,False,,,
closed_loop_nrmse,pendcart,GWO,7.0,0.2150175991051761,0.21501759910517618,8.326672684688674e-17,3.8725540231782016e-16,False,,,
closed_loop_nrmse,pendcart,GWO,8.0,0.215019563234252,0.215019563234252,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,GWO,9.0,0.2150185512222735,0.21501855122227356,5.551115123125783e-17,2.5816912501597904e-16,False,,,
closed_loop_nrmse,pendcart,PSO,0.0,0.2149794814586685,0.21497948145866855,5.551115123125783e-17,2.5821604394338576e-16,False,,,
closed_loop_nrmse,pendcart,PSO,1.0,0.2149088188782387,0.2149088188782387,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,PSO,2.0,0.2150105782394203,0.21501057823942032,2.7755575615628914e-17,1.2908934919807668e-16,False,,,
closed_loop_nrmse,pendcart,PSO,3.0,0.2150511952062945,0.21505119520629457,5.551115123125783e-17,2.5812993588808953e-16,False,,,
closed_loop_nrmse,pendcart,PSO,4.0,0.2149858958507651,0.21498589585076516,5.551115123125783e-17,2.5820833972193004e-16,False,,,
closed_loop_nrmse,pendcart,PSO,5.0,0.2150348815710427,0.21503488157104272,2.7755575615628914e-17,1.2907475946621754e-16,False,,,
closed_loop_nrmse,pendcart,PSO,6.0,0.214938321439147,0.21493832143914704,2.7755575615628914e-17,1.2913274575602855e-16,False,,,
closed_loop_nrmse,pendcart,PSO,7.0,0.2150049355006836,0.21500493550068367,5.551115123125783e-17,2.5818547421708527e-16,False,,,
closed_loop_nrmse,pendcart,PSO,8.0,0.2150074377024795,0.21500743770247951,2.7755575615628914e-17,1.290912347601491e-16,False,,,
closed_loop_nrmse,pendcart,PSO,9.0,0.2147604383576306,0.21476043835763062,2.7755575615628914e-17,1.2923970461174437e-16,False,,,
closed_loop_nrmse,pendcart,WOA,0.0,0.2150226191699777,0.21502261916997772,2.7755575615628914e-17,1.290821203963097e-16,False,,,
closed_loop_nrmse,pendcart,WOA,1.0,0.2150210495019053,0.2150210495019053,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,WOA,2.0,0.215022441409705,0.21502244140970506,5.551115123125783e-17,2.581644542184625e-16,False,,,
closed_loop_nrmse,pendcart,WOA,3.0,0.2150221097883834,0.21502210978838343,2.7755575615628914e-17,1.290824261883808e-16,False,,,
closed_loop_nrmse,pendcart,WOA,4.0,0.2150227974851027,0.21502279748510275,5.551115123125783e-17,2.5816402670095377e-16,False,,,
closed_loop_nrmse,pendcart,WOA,5.0,0.2150225439107418,0.21502254391074183,2.7755575615628914e-17,1.2908216557585958e-16,False,,,
closed_loop_nrmse,pendcart,WOA,6.0,0.2150219407302775,0.2150219407302775,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,WOA,7.0,0.2150227881403534,0.2150227881403534,0.0,0.0,False,,,
closed_loop_nrmse,pendcart,WOA,8.0,0.215022768258476,0.21502276825847608,8.326672684688674e-17,3.872460926872308e-16,False,,,
closed_loop_nrmse,pendcart,WOA,9.0,0.2150219823695254,0.21502198236952544,2.7755575615628914e-17,1.2908250268072427e-16,False,,,
closed_loop_nrmse,cstr,SGO,0.0,0.277747853369016,0.277747853369016,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,1.0,0.2750848101502813,0.2750848101502813,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,2.0,0.2770368856832751,0.27703688568327517,5.551115123125783e-17,2.00374585840246e-16,False,,,
closed_loop_nrmse,cstr,SGO,3.0,0.2748858182463325,0.2748858182463325,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,4.0,0.2704073213240291,0.27040732132402917,5.551115123125783e-17,2.0528716071536692e-16,False,,,
closed_loop_nrmse,cstr,SGO,5.0,0.280417377032327,0.280417377032327,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,6.0,0.2877485354805618,0.2877485354805618,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,7.0,0.2775524804041313,0.27755248040413133,5.551115123125783e-17,2.0000236045605004e-16,False,,,
closed_loop_nrmse,cstr,SGO,8.0,0.2746981313672505,0.2746981313672505,0.0,0.0,False,,,
closed_loop_nrmse,cstr,SGO,9.0,0.2801998313444952,0.2801998313444952,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,0.0,0.270358573802031,0.270358573802031,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,1.0,0.2732427763587238,0.2732427763587238,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,2.0,0.2701837258400393,0.27018372584003936,5.551115123125783e-17,2.054570498599271e-16,False,,,
closed_loop_nrmse,cstr,GWO,3.0,0.2762097002847589,0.2762097002847589,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,4.0,0.2754427236046236,0.27544272360462363,5.551115123125783e-17,2.0153428090167934e-16,False,,,
closed_loop_nrmse,cstr,GWO,5.0,0.2716980995457134,0.27169809954571345,5.551115123125783e-17,2.0431188633293343e-16,False,,,
closed_loop_nrmse,cstr,GWO,6.0,0.2743896037231227,0.2743896037231227,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,7.0,0.2704429141217476,0.2704429141217476,0.0,0.0,False,,,
closed_loop_nrmse,cstr,GWO,8.0,0.270178987133108,0.27017898713310806,5.551115123125783e-17,2.054606533997752e-16,False,,,
closed_loop_nrmse,cstr,GWO,9.0,0.2753319610457203,0.27533196104572033,5.551115123125783e-17,2.0161535558902992e-16,False,,,
closed_loop_nrmse,cstr,PSO,0.0,0.2707431718691651,0.27074317186916513,5.551115123125783e-17,2.050325068145513e-16,False,,,
closed_loop_nrmse,cstr,PSO,1.0,0.2723744050241899,0.27237440502418997,5.551115123125783e-17,2.0380458004608697e-16,False,,,
closed_loop_nrmse,cstr,PSO,2.0,0.2709814613883631,0.2709814613883631,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,3.0,0.2706830352672811,0.2706830352672811,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,4.0,0.2711359571113147,0.2711359571113147,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,5.0,0.2714110063749763,0.2714110063749763,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,6.0,0.2713199359429139,0.2713199359429139,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,7.0,0.2706709104632802,0.2706709104632802,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,8.0,0.2710067528033266,0.2710067528033266,0.0,0.0,False,,,
closed_loop_nrmse,cstr,PSO,9.0,0.2719652748947767,0.27196527489477673,5.551115123125783e-17,2.0411117284269135e-16,False,,,
closed_loop_nrmse,cstr,WOA,0.0,0.2738953149021604,0.27389531490216046,5.551115123125783e-17,2.0267287613549454e-16,False,,,
closed_loop_nrmse,cstr,WOA,1.0,0.2720787290809288,0.2720787290809288,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,2.0,0.272595991911628,0.272595991911628,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,3.0,0.2939762509859502,0.2939762509859502,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,4.0,0.2725387420213469,0.2725387420213469,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,5.0,0.2843547250095272,0.2843547250095272,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,6.0,0.2761953364137729,0.2761953364137729,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,7.0,0.2734673341773989,0.27346733417739894,5.551115123125783e-17,2.0299006240813982e-16,False,,,
closed_loop_nrmse,cstr,WOA,8.0,0.2794162999267273,0.2794162999267273,0.0,0.0,False,,,
closed_loop_nrmse,cstr,WOA,9.0,0.2752630053038256,0.2752630053038256,0.0,0.0,False,,,
closed_loop_nrmse,flight,SGO,0.0,0.0149703086596335,0.014970308659633502,1.734723475976807e-18,1.1587760248754123e-16,False,,,
closed_loop_nrmse,flight,SGO,1.0,0.0150545212531557,0.015054521253155737,3.642919299551295e-17,2.419817434438623e-15,False,,,
closed_loop_nrmse,flight,SGO,2.0,0.0150783618430228,0.015078361843022832,3.2959746043559335e-17,2.185897008355107e-15,False,,,
closed_loop_nrmse,flight,SGO,3.0,0.0150252565438826,0.015025256543882662,6.245004513516506e-17,4.156338026760085e-15,False,,,
closed_loop_nrmse,flight,SGO,4.0,0.0150148701727971,0.015014870172797148,4.85722573273506e-17,3.2349435438576385e-15,False,,,
closed_loop_nrmse,flight,SGO,5.0,0.0149512342947784,0.014951234294778418,1.734723475976807e-17,1.1602543587873848e-15,False,,,
