case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F1,9,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,73.4604782092682,71.64155157529804,0.0404933731243481,97.98516358601046
F1,10,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,48.74752173826028,47.1806676916568,0.10363230333198423,99.1661817580025
F1,7,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,69.61090132069575,66.89959657789024,0.07304443223989186,100.04428788401128
F1,2,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.015867796530898,25.33002637772435,0.13335154969931376,104.45567373499216
F1,20,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,50.23411369478513,47.87847377082222,0.15007251997699853,105.85713884601137
F1,11,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,34.63850025590667,33.25505120123136,0.09829499536855323,105.94221780599037
F1,13,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,32.659232375590015,31.561603201452797,0.16722558809671292,106.70531700299762
F1,6,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,32.91440729891699,30.371343918912494,0.11074897371538614,108.18898157299554
F1,16,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,33.34066349171208,32.27710944072205,0.1362386272964293,110.47028282699466
F1,8,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,45.88635524388946,44.761784204259875,0.10601614956720089,112.48152978898725
F1,12,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,53.5838833275346,52.02257872634884,0.04488878857177306,114.30133249000937
F1,17,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,93.81034456746482,91.78921271867661,0.06606285788206655,116.22558052599197
F1,15,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,56.642817590172605,55.37405621697976,0.11207903497200596,116.38710099099262
F1,3,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,30.126153729101954,29.066628136637863,0.06488910030442117,117.23031005500525
F1,18,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,35.85972888861828,34.7134596318409,0.08125329257127474,117.29591458199138
F1,1,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,71.69469041712613,69.43361643297276,0.08056405769888703,119.55271472399181
F1,14,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.91676735579284,40.1394051188745,0.17802501742144455,123.89592227000685
F1,5,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,38.65548904956942,37.07089795526838,0.10445057245437657,131.4994283660053
F1,19,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,31.159025474427665,30.451775743661397,0.09353215772553167,141.9409427990031
F1,4,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,27.853650196778013,26.576850993881727,0.13139558873371215,143.69396409099863
F1,25,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.238064889901224,40.20082103480329,0.059334975423190245,96.22829010400164
F1,24,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,31.36884943881534,30.00610271649932,0.2093582234888951,97.98351155800628
F1,31,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,37.67807936249733,35.000704675646546,0.16265048538879417,90.63565977600229
F1,22,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,22.625368496223746,21.644217084534375,0.13105997924911114,106.26339477500005
F1,23,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,38.12664926653196,35.95462066567075,0.052112998562530606,106.86041112500243
F1,30,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,51.23860732074599,49.69170510404061,0.09794317732367379,94.97761566999543
F1,26,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,23.86018694716898,22.662302765169702,0.1752117977354417,101.78154283500044
F1,28,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.86195585881153,15.263323326661226,0.11626508663034639,106.51171832899854
F1,21,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.69890818079923,25.67416269843112,0.1747638500171037,117.02826276799897
F2,2,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,20.13393062636535,19.4856020643898,0.08180694411985102,102.02812990998791
F1,29,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,20.088248636459948,19.824365754569385,0.05081097333695453,112.85119575000135
F1,27,random,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,21.048972162513383,19.751435576890078,0.1597583407131663,120.09159850599826
F2,4,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,32.8984310529814,31.87162198776991,0.05535644898805208,114.05534120700031
F2,5,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,29.520928011165093,28.543794325718505,0.10381185176473054,125.32629788899794
F2,6,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,36.60451148717292,35.14624944509711,0.07272665998800337,123.30759380100062
F2,3,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,44.33317747114542,42.63857998779804,0.07155900775900974,137.07155287599016
F2,1,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,29.97411703011027,28.735382653256842,0.10175567335504533,139.59837523500028
F2,7,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,32.11133752938617,31.692252875574418,0.0692436437143991,135.5826333820005
F2,9,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,39.1252636794063,38.308664987675286,0.0798401820883386,123.57560973399086
F2,8,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,59.919521770205286,57.55594539143508,0.05205922964415586,153.243212048008
F2,11,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,56.8578324117121,55.155628166885066,0.07607753470340901,99.99181407899596
F2,16,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,31.07746693922989,29.585284018814505,0.11067934929163178,99.71413995900366
F2,17,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,40.03559050584953,39.224940250159904,0.2064093591985969,102.28609343500284
F2,12,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,57.04473014118059,55.8331522789049,0.02844448290859697,115.64111877400137
F2,19,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.085881515054815,18.31806385572517,0.13351865735758323,102.16798189499241
F2,18,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,38.569134760552586,38.15902537710771,0.08622023983531704,106.88495533900277
F2,10,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,51.96566190203485,50.2527615422496,0.03771764563468829,125.701288346012
F2,14,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.402463331328594,24.082662330010574,0.17077389111147087,121.52705268599675
F2,21,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,52.05501296087636,50.26885460013281,0.16191855572401237,102.48838668099779
F2,20,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,34.6640652608853,33.125471564681355,0.1131232898095729,110.06744562899985
F2,13,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,41.72268069044754,40.25058795997611,0.08367544839868508,139.81475786400551
F2,15,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,40.53148998420766,39.03296341507968,0.11672429075119721,138.6908901239949
F2,23,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,47.98270542970045,46.69193373679004,0.028748463474858797,112.44254020700464
F2,24,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,71.66971452051249,70.16923910668979,0.06313384343172933,114.7081737020053
F2,26,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,33.180533214097025,31.70902354499394,0.14074818061299113,109.28249120000692
F2,22,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,50.514855681684416,49.08837697242534,0.1480945419648018,142.63711861500633
F2,27,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,55.355712925956624,53.795475319435916,0.08438245709497152,124.26678277499741
F2,25,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,29.30730802229764,28.856628568413285,0.043607149345414126,145.38137681000808
F2,30,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,55.59108697563315,53.67799090352752,0.06369360563484329,102.93566616400494
F2,28,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,50.46576879837303,48.77957975152702,0.10163143733753957,138.10891426799935
F2,31,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,51.353879731067344,49.87302273054768,0.07083039021050877,108.69266112800688
F2,29,random,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,35.37454248720315,34.612518677085006,0.044764338600452924,126.20717796900135
F3,1,random,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,56.8823886356541,55.11560832902589,0.03580038702579732,115.61722498800373
F3,3,random,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,48.73192703960413,47.41488555043403,0.07042980177086539,117.25979189599457
F3,7,random,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,45.461954236819494,43.974229927305934,0.07600467691496622,113.37507901500794
