case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F1,5,fitness,population_persistence,1,5000,222.4028002585632,36.34464309114535,39.71995866065753,186.05815716741785,0.8365818998281881,222.4028002585632,53.95203350912424,53.95203350912424,39.54701893997594,36.34464309114535,36.34464309114535,0.0,0.0,6,True,0.0012,150,True,0.03
F1,5,fitness,population_persistence,2,5000,51.871086299100966,21.817359460072225,24.98863881265789,30.05372683902874,0.5793926632986214,51.871086299100966,34.57737509539751,30.874984399379557,24.906537097649796,24.906537097649796,21.817359460072225,3.0891776375775706,0.1027885045380084,3,True,0.0006,2507,True,0.5014
F1,5,fitness,population_persistence,3,5000,136.48233468024884,17.196916637324826,17.377017313112855,119.28541804292402,0.8739989561461283,136.48233468024884,17.196916637324826,17.196916637324826,17.196916637324826,17.196916637324826,17.196916637324826,0.0,0.0,2,True,0.0004,2,True,0.0004
F1,5,fitness,population_persistence,4,5000,37.03113818501646,19.336371690504848,19.390875268638663,17.69476649451161,0.4778347996246918,37.03113818501646,19.336371690504848,19.336371690504848,19.336371690504848,19.336371690504848,19.336371690504848,0.0,0.0,20,True,0.004,20,True,0.004
F1,5,fitness,population_persistence,5,5000,45.17775351763076,19.08963729244475,21.951758499668102,26.088116225186013,0.5774549240259378,45.17775351763076,25.043292344400136,23.752615009301316,23.752615009301316,22.895234610154056,19.08963729244475,3.8055973177093065,0.14587474560678718,8,True,0.0016,2957,True,0.5914
F1,5,fitness,population_persistence,6,5000,49.769846860916545,22.263737852880254,22.287104113905073,27.50610900803629,0.55266613708704,49.769846860916545,22.263737852880254,22.263737852880254,22.263737852880254,22.263737852880254,22.263737852880254,0.0,0.0,7,True,0.0014,7,True,0.0014
F1,5,fitness,population_persistence,7,5000,36.018484175940145,25.24019756885501,26.801029371557682,10.778286607085136,0.299243203973722,36.018484175940145,27.668206647108402,27.668206647108402,27.668206647108402,27.668206647108402,25.24019756885501,2.4280090782533925,0.22526855768126766,13,True,0.0026,3181,True,0.6362
F1,5,fitness,population_persistence,8,5000,45.50990038793012,15.064056138950498,15.2879516674705,30.44584424897962,0.6689938670367711,45.50990038793012,17.971362422656746,15.064056138950498,15.064056138950498,15.064056138950498,15.064056138950498,0.0,0.0,13,True,0.0026,13,True,0.0026
F1,5,fitness,population_persistence,9,5000,29.99805381248184,8.791427493885557,8.815366343626517,21.206626318596282,0.7069334047854949,29.99805381248184,8.791427493885557,8.791427493885557,8.791427493885557,8.791427493885557,8.791427493885557,0.0,0.0,3,True,0.0006,17,True,0.0034
F1,5,fitness,population_persistence,10,5000,41.95540499908155,6.771994422418928,6.801582067868559,35.183410576662624,0.838590655421699,41.95540499908155,6.771994422418928,6.771994422418928,6.771994422418928,6.771994422418928,6.771994422418928,0.0,0.0,3,True,0.0006,13,True,0.0026
F1,5,fitness,population_persistence,11,5000,23.770838052115344,8.016275064706917,8.022464811961314,15.754562987408427,0.6627685129513742,23.770838052115344,8.016275064706917,8.016275064706917,8.016275064706917,8.016275064706917,8.016275064706917,0.0,0.0,3,True,0.0006,3,True,0.0006
F1,5,fitness,population_persistence,12,5000,17.579814760120232,5.835768504743683,5.845075219691047,11.74404625537655,0.6680415246477961,17.579814760120232,5.835768504743683,5.835768504743683,5.835768504743683,5.835768504743683,5.835768504743683,0.0,0.0,3,True,0.0006,13,True,0.0026
F1,5,fitness,population_persistence,13,5000,46.14658465126131,8.609711517127067,8.620479566863615,37.53687313413424,0.8134268964389818,46.14658465126131,8.609711517127067,8.609711517127067,8.609711517127067,8.609711517127067,8.609711517127067,0.0,0.0,2,True,0.0004,3,True,0.0006
F1,5,fitness,population_persistence,14,5000,41.02409575829599,8.270074245286906,8.298978971264592,32.754021513009086,0.798409347179468,41.02409575829599,8.270074245286906,8.270074245286906,8.270074245286906,8.270074245286906,8.270074245286906,0.0,0.0,3,True,0.0006,13,True,0.0026
