case,grouping,mode,n,best,worst,mean,median,std,q1,q3
F2,random,population_persistence,31,19.085881515054812,71.66971452051249,41.7557850596072,40.03559050584953,12.58814138370929,32.504884291183785,51.6597708165511
F2,fitness,population_persistence,31,9.750418241703644,24.804973607418894,16.699429728421478,15.675398799810264,2.9029156039467128,15.111513760239909,18.06028875972337
F2,random,previous_best_seeded,31,14.828278292538895,26.111251604178563,20.14689483045682,20.207425135770936,3.033269592996312,18.13647590172077,22.312318156061195
F2,fitness,previous_best_seeded,31,19.080944041864356,28.446826705339816,24.597253773027678,24.80332920255584,1.9344106567769142,23.562814803602897,25.827282945720512
F8,random,population_persistence,31,22.95964242503834,76.50729536788705,45.577274698309445,46.29318287484748,15.810241583048759,33.03341613910561,55.132085521487326
F8,fitness,population_persistence,31,17.44582368066147,33.68686004940221,23.15169601360386,23.41241359784537,3.659186795873348,20.55404334621884,24.355077229708684
F8,random,previous_best_seeded,31,23.701729393598093,39.36206128985776,31.708493706462345,31.895955050823204,3.92397588056367,29.36869540457034,33.749408441269324
F8,fitness,previous_best_seeded,31,31.55308513615716,44.500107143647,38.871822184571464,39.40251407311556,3.2850053647333866,37.45720896001394,41.16609050842911
F10,random,population_persistence,31,204.91163005919265,257.3383650465203,231.0686356108134,229.6647460119956,13.466149989655635,222.27083343395725,241.94799100529156
F10,fitness,population_persistence,31,79.88257660159795,149.07610696946074,110.78592277727996,107.66548119458676,16.22380263557662,100.72278928041592,119.6664883763259
F10,random,previous_best_seeded,31,94.82820117140956,187.7126851276565,151.50827116278168,158.54593260683237,22.82729981268589,145.00134870631152,166.007523274844
F10,fitness,previous_best_seeded,31,131.2401330521751,194.55188644502147,166.4615338819941,172.5526505650139,19.90776678277714,146.5465968547615,183.93661183553644
F12,random,population_persistence,31,35.933631281438345,74.29619029350218,52.733681895143526,52.18354354872675,9.655695957439546,46.08239389955387,59.43382565130021
F12,fitness,population_persistence,31,14.483491059901672,23.41808950486122,18.496922360784804,18.77707366013328,2.349613801113884,16.696868610063774,19.764267793322723
F12,random,previous_best_seeded,31,20.050928638082564,25.740676110999324,23.198752518526614,23.3896219648289,1.6295045897318663,21.88510175846166,24.401740266806843
F12,fitness,previous_best_seeded,31,23.73089879751954,29.44018488800992,26.05698239988912,26.18768084915432,1.3721550607044557,25.298694382507193,27.05347521552018
